"","id","province","district2016","constituency","shp2015","website2015","shp2016","website2016","merge_flag","new_2016","renamed","website2011","website2006","province2006","district2006","website2008.x","common","website2008.y"
"65",65,"Luapula","Mwansabombwe","Mwansabombwe","Mwansabombwe","Mwansabombwe","Mwansabombwe","Mwansabombwe",0,0,NA,"Mwansabombwe","Mwansabombwe","Luapula","Kawambwa","Mwansabombwe","Mwansabombwe","Mwansabombwe"
"66",66,"Luapula","Mwense","Mambilima","Mambilima","Mambilima","Mambilima","Mambilima",0,0,NA,"Mambilima","Mambilima","Luapula","Mwense","Mambilima","Mambilima","Mambilima"
"67",67,"Luapula","Mwense","Mwense","Mwense","Mwense","Mwense","Mwense",0,0,NA,"Mwense","Mwense","Luapula","Mwense","Mwense","Mwense","Mwense"
"68",68,"Luapula","Nchelenge","Nchelenge","Nchelenge","Nchelenge","Nchelenge","Nchelenge",0,0,NA,"Nchelenge","Nchelenge","Luapula","Nchelenge","Nchelenge","Nchelenge","Nchelenge"
"69",69,"Luapula","Samfya","Bangweulu","Bangweulu","Bangweulu","Bangweulu","Bangweulu",0,0,NA,"Bangweulu","Bangweulu","Luapula","Samfya","Bangweulu","Bangweulu","Bangweulu"
"70",70,"Luapula","Samfya","Chifunabuli","Chifunabuli","Chifunabuli","Chifunabuli","Chifunabuli",0,0,NA,"Chifunabuli","Chifunabuli","Luapula","Samfya","Chifunabuli","Chifunabuli","Chifunabuli"
"71",71,"Lusaka","Chilanga","Chilanga","Chilanga","Chilanga","Chilanga","Chilanga",0,0,NA,"Chilanga","Chilanga","Lusaka","Kafue","Chilanga","Chilanga","Chilanga"
"72",72,"Lusaka","Chirundu","Chirundu",NA,NA,"Chirundu","Chirundu",2,1,"0",NA,NA,NA,NA,NA,NA,NA
"73",73,"Lusaka","Chongwe","Chongwe","Chongwe","Chongwe","Chongwe","Chongwe",0,0,NA,"Chongwe","Chongwe","Lusaka","Chongwe","Chongwe","Chongwe","Chongwe"
"74",74,"Lusaka","Kafue","Kafue","Kafue","Kafue","Kafue","Kafue",0,0,NA,"Kafue","Kafue","Lusaka","Kafue","Kafue","Kafue","Kafue"
"75",75,"Lusaka","Luangwa","Feira","Feira","Feira","Feira","Feira",0,0,NA,"Feira","Feira","Lusaka","Luangwa","Feira","Feira","Feira"
"76",76,"Lusaka","Lusaka","Chawama","Chawama","Chawama","Chawama","Chawama",0,0,NA,"Chawama","Chawama","Lusaka","Lusaka","Chawama","Chawama","Chawama"
"77",77,"Lusaka","Lusaka","Kabwata","Kabwata","Kabwata","Kabwata","Kabwata",0,0,NA,"Kabwata","Kabwata","Lusaka","Lusaka","Kabwata","Kabwata","Kabwata"
"78",78,"Lusaka","Lusaka","Kanyama","Kanyama","Kanyama","Kanyama","Kanyama",0,0,NA,"Kanyama","Kanyama","Lusaka","Lusaka","Kanyama","Kanyama","Kanyama"
"79",79,"Lusaka","Lusaka","Lusaka Central","Lusaka Central","Lusaka Central","Lusaka Central","Lusaka Central",0,0,NA,"Lusaka Central","Lusaka Central","Lusaka","Lusaka","Lusaka Central","Lusaka Central","Lusaka Central"
"80",80,"Lusaka","Lusaka","Mandevu","Mandevu","Mandevu","Mandevu","Mandevu",0,0,NA,"Mandevu","Mandevu","Lusaka","Lusaka","Mandevu","Mandevu","Mandevu"
"81",81,"Lusaka","Lusaka","Matero","Matero","Matero","Matero","Matero",0,0,NA,"Matero","Matero","Lusaka","Lusaka","Matero","Matero","Matero"
"82",82,"Lusaka","Lusaka","Munali","Munali","Munali","Munali","Munali",0,0,NA,"Munali","Munali","Lusaka","Lusaka","Munali","Munali","Munali"
"83",83,"Lusaka","Rufunsa","Rufunsa","Rufunsa","Rufunsa","Rufunsa","Rufunsa",0,0,NA,"Rufunsa","Rufunsa","Lusaka","Chongwe","Rufunsa","Rufunsa","Rufunsa"
"84",84,"Lusaka","Shibuyunji","Mwembezhi","Mwembezhi","Mwembezhi","Mwembezhi","Mwembezhi",0,0,NA,"Mwembezhi","Mwembezhi","Central","Mumbwa","Mwembezhi","Mwembezhi","Mwembezhi"
"85",85,"Muchinga","Chama","Chama North","Chama North","Chama North","Chama North","Chama North",0,0,NA,"Chama North","Chama  North","Eastern","Chama","Chama North","Chama  North",NA
"86",86,"Muchinga","Chama","Chama South","Chama South","Chama South","Chama South","Chama South",0,0,NA,"Chama South","Chama South","Eastern","Chama","Chama South","Chama South","Chama South"
"87",87,"Muchinga","Chinsali","Chinsali","Chinsali","Chinsali","Chinsali","Chinsali",0,0,NA,"Chinsali","Chinsali","Northern","Chilubi","Chinsali","Chinsali","Chinsali"
"88",88,"Muchinga","Isoka","Isoka","Isoka West","Isoka","Isoka","Isoka",2,0,"shp2015","Isoka","Isoka West","Northern","Isoka","Isoka West","Isoka West","Isoka West"
"89",89,"Muchinga","Mafinga","Mafinga","Isoka East","Mafinga","Mafinga","Mafinga",2,0,"shp2015, website2015","Mafinga","Isoka East","Northern","Isoka","Isoka East","Isoka East","Isoka East"
"90",90,"Muchinga","Mpika","Kanchibiya","Kanchibiya","Kanchibiya","Kanchibiya","Kanchibiya",0,0,NA,"Kanchibiya","Kanchibiya","Northern","Mbala","Kanchibiya","Kanchibiya","Kanchibiya"
"91",91,"Muchinga","Mpika","Mfuwe","Mfuwe","Mfuwe","Mfuwe","Mfuwe",0,0,NA,"Mfuwe","Mfuwe","Northern","Mbala","Mfuwe","Mfuwe","Mfuwe"
"92",92,"Muchinga","Mpika","Mpika","Mpika Central","Mpika","Mpika","Mpika",2,0,"shp2015","Mpika","Mpika Central","Northern","Mbala","Mpika","Mpika Central",NA
"93",93,"Muchinga","Nakonde","Nakonde","Nakonde","Nakonde","Nakonde","Nakonde",0,0,NA,"Nakonde","Nakonde","Northern","Nakonde","Nakonde","Nakonde","Nakonde"
"94",94,"Muchinga","Shiwan'gandu","Shiwan'gandu","Shiwang'Andu","Shiwan'gandu","Shiwanga'ndu","Shiwan'gandu",2,0,"shp2015, shp2016","Shiwang'andu","Shiwang'andu","Northern","Chinsali","Shiwang'andu","Shiwang'andu","Shiwang'andu"
"95",95,"North-Western","Chavuma","Chavuma","Chavuma","Chavuma","Chavuma","Chavuma",0,0,NA,"Chavuma","Chavuma","North-Western","Chavuma","Chavuma","Chavuma","Chavuma"
"96",96,"North-Western","Ikelenge","Ikeleng'i","Mwinilunga West","Ikeleng'i","Ikelenge","Ikeleng'i",2,0,"shp2015, shp2016","Ikeleng'i","Mwinilunga West","North-Western","Mwinilunga","Mwinilunga West","Mwinilunga West","Mwinilunga West"
"97",97,"North-Western","Kabompo","Kabompo","Kabompo West","Kabompo West","Kabompo","Kabompo",2,0,"shp2015, website2015","Kabompo West","Kabompo West","North-Western","Kabompo","Kabompo West","Kabompo West","Kabompo West"
"98",98,"North-Western","Kasempa","Kasempa","Kasempa","Kasempa","Kasempa","Kasempa",0,0,NA,"Kasempa","Kasempa","North-Western","Kasempa","Kasempa","Kasempa","Kasempa"
"99",99,"North-Western","Manyinga","Manyinga","Kabompo East","Kabompo East","Manyinga","Manyinga",2,0,"shp2015, website2015","Kabompo East","Kabompo East","North-Western","Kabompo","Kabompo East","Kabompo East","Kabompo East"
"100",100,"North-Western","Mufumbwe","Mufumbwe","Mufumbwe","Mufumbwe","Mufumbwe","Mufumbwe",0,0,NA,"Mufumbwe","Mufumbwe","North-Western","Mufumbwe","Mufumbwe","Mufumbwe","Mufumbwe"
"101",101,"North-Western","Mwinilunga","Mwinilunga","Mwinilunga East","Mwinilunga","Mwinilunga","Mwinilunga",2,0,"shp2015","Mwinilunga","Mwinilunga East","North-Western","Mwinilunga","Mwinilunga East","Mwinilunga East","Mwinilunga East"
"102",102,"North-Western","Solwezi","Solwezi Central","Solwezi Central","Solwezi Central","Solwezi Central","Solwezi Central",0,0,NA,"Solwezi Central","Solwezi Central","North-Western","Solwezi","Solwezi Central","Solwezi Central","Solwezi Central"
"103",103,"North-Western","Solwezi","Solwezi East","Solwezi East","Solwezi East","Solwezi East","Solwezi East",0,0,NA,"Solwezi East","Solwezi East","North-Western","Solwezi","Solwezi East","Solwezi East","Solwezi East"
"104",104,"North-Western","Solwezi","Solwezi West","Solwezi West","Solwezi West","Solwezi West","Solwezi West",0,0,NA,"Solwezi West","Solwezi West","North-Western","Solwezi","Solwezi West","Solwezi West","Solwezi West"
"105",105,"North-Western","Zambezi","Zambezi East","Zambezi East","Zambezi East","Zambezi East","Zambezi East",0,0,NA,"Zambezi East","Zambezi East","North-Western","Zambezi","Zambezi East","Zambezi East","Zambezi East"
