"","lastname","firstname","Photo","Party","Votes","constituency","candidate","votes","pct_votes","rank","won","margin_victory","pct_margin","province","district"
"1","KALABA","Harry",NA,"PF","18,166","Bahati","Harry Kalaba",18166,0.817478174781748,1,1,14110,0.634956349563496,"Luapula","Mansa"
"2","LUSAKA","Makuwa A",NA,"UPND","4,056","Bahati","Makuwa A Lusaka",4056,0.182521825218252,2,0,NA,NA,"Luapula","Mansa"
"3","KASANDWE","Anthony",NA,"PF","18,430","Bangweulu","Anthony Kasandwe",18430,0.636373053416664,1,1,11043,0.38130589413349,"Luapula","Samfya"
"4","SHABANI","Sally M",NA,"FDD","7,387","Bangweulu","Sally M Shabani",7387,0.255067159283174,2,0,NA,NA,"Luapula","Samfya"
"5","CHINAMA","Prudence M",NA,"UPND","2,040","Bangweulu","Prudence M Chinama",2040,0.0704395566451435,3,0,NA,NA,"Luapula","Samfya"
"6","KASONGO","Joseph C",NA,"IND","876","Bangweulu","Joseph C Kasongo",876,0.030247574324091,4,0,NA,NA,"Luapula","Samfya"
"7","MWANSA","Robby",NA,"RAINBOW","228","Bangweulu","Robby Mwansa",228,0.0078726563309278,5,0,NA,NA,"Luapula","Samfya"
"8","MUSHANGA","Sydney",NA,"PF","14,641","Bwacha","Sydney Mushanga",14641,0.612209910098265,1,1,6527,0.272924942504704,"Central","Kabwe"
"9","CHIBWANA","Saidi",NA,"UPND","8,114","Bwacha","Saidi Chibwana",8114,0.339284967593561,2,0,NA,NA,"Central","Kabwe"
"10","CHILESHE","Webster",NA,"FDD","686","Bwacha","Webster Chileshe",686,0.0286849257787999,3,0,NA,NA,"Central","Kabwe"
"11","CHIMOTO","Boniface",NA,"MMD","474","Bwacha","Boniface Chimoto",474,0.0198201965293749,4,0,NA,NA,"Central","Kabwe"
"12","CHANDA","Jonas K",NA,"PF","19,478","Bwana Mkubwa","Jonas K Chanda",19478,0.689657614276104,1,1,11700,0.414261941011932,"Copperbelt","Ndola"
"13","SIKALUBYA","Bryan P",NA,"UPND","7,778","Bwana Mkubwa","Bryan P Sikalubya",7778,0.275395673264172,2,0,NA,NA,"Copperbelt","Ndola"
"14","TSENZI","Deborah",NA,"FDD","506","Bwana Mkubwa","Deborah Tsenzi",506,0.0179159437736784,3,0,NA,NA,"Copperbelt","Ndola"
"15","KANGWA","Richard ON",NA,"RAINBOW","481","Bwana Mkubwa","Richard On Kangwa",481,0.0170307686860461,4,0,NA,NA,"Copperbelt","Ndola"
"16","MICHELO","Kasauta S",NA,"UPND","20,548","Bweengwa","Kasauta S Michelo",20548,0.957591574238046,1,1,19638,0.915183148476093,"Southern","Monze"
"17","MWEEMPWA","Jocelyn CM",NA,"PF","910","Bweengwa","Jocelyn Cm Mweempwa",910,0.0424084257619536,2,0,NA,NA,"Southern","Monze"
"18","TEMBO","Salatiel",NA,"PF","10,136","Chadiza","Salatiel Tembo",10136,0.485812883435583,1,1,5410,0.259298312883436,"Eastern","Chadiza"
"19","MBEWE","Allan",NA,"MMD","4,726","Chadiza","Allan Mbewe",4726,0.226514570552147,2,0,NA,NA,"Eastern","Chadiza"
"20","THOLE","Samson",NA,"UPND","3,324","Chadiza","Samson Thole",3324,0.159317484662577,3,0,NA,NA,"Eastern","Chadiza"
"21","PHIRI","Yamikani N",NA,"IND","1,637","Chadiza","Yamikani N Phiri",1637,0.0784605061349693,4,0,NA,NA,"Eastern","Chadiza"
"22","BANDA","Ziwani",NA,"IND","725","Chadiza","Ziwani Banda",725,0.0347488496932515,5,0,NA,NA,"Eastern","Chadiza"
"23","DAKA","Asarf",NA,"FDD","316","Chadiza","Asarf Daka",316,0.0151457055214724,6,0,NA,NA,"Eastern","Chadiza"
"24","MUMBA","Darious",NA,"PF","13,100","Chama North","Darious Mumba",13100,0.787448905987016,1,1,10971,0.659473431113248,"Muchinga","Chama"
"25","CHILEMBO","Todd S",NA,"UPND","2,129","Chama North","Todd S Chilembo",2129,0.127975474873768,2,0,NA,NA,"Muchinga","Chama"
"26","MTAYACHALO","Yotam",NA,"FDD","1,126","Chama North","Yotam Mtayachalo",1126,0.0676845395527771,3,0,NA,NA,"Muchinga","Chama"
"27","KALUBA","Glory",NA,"UDF","281","Chama North","Glory Kaluba",281,0.016891079586439,4,0,NA,NA,"Muchinga","Chama"
"28","MUNG'ANDU","Davison",NA,"PF","8,700","Chama South","Davison Mung'andu",8700,0.627569790088725,1,1,5989,0.432013272740388,"Muchinga","Chama"
"29","MVULA","Elijah D",NA,"IND","2,711","Chama South","Elijah D Mvula",2711,0.195556517348337,2,0,NA,NA,"Muchinga","Chama"
"30","CHIBANGA","Julius H.M",NA,"MMD","967","Chama South","Julius H.m Chibanga",967,0.0697540214960687,3,0,NA,NA,"Muchinga","Chama"
"31","NKHOWANI","Abiad Z",NA,"UPND","783","Chama South","Abiad Z Nkhowani",783,0.0564812811079853,4,0,NA,NA,"Muchinga","Chama"
"32","NG'UNI","Allan",NA,"FDD","297","Chama South","Allan Ng'uni",297,0.0214239342133737,5,0,NA,NA,"Muchinga","Chama"
"33","GOMA","Patrick K",NA,"UDF","286","Chama South","Patrick K Goma",286,0.020630455168434,6,0,NA,NA,"Muchinga","Chama"
"34","NKHOWANI","Elizabeth L P",NA,"IND","119","Chama South","Elizabeth L P Nkhowani",119,0.00858400057707567,7,0,NA,NA,"Muchinga","Chama"
"35","ZIMBA","Gerald G",NA,"PF","14,801","Chasefu","Gerald G Zimba",14801,0.672436509018218,1,1,10674,0.484939348507564,"Eastern","Lundazi"
"36","BANDA","Chifumu KB",NA,"FDD","4,127","Chasefu","Chifumu Kb Banda",4127,0.187497160510654,2,0,NA,NA,"Eastern","Lundazi"
"37","MSIMUKO","Japhet",NA,"UPND","1,795","Chasefu","Japhet Msimuko",1795,0.0815501340238971,3,0,NA,NA,"Eastern","Lundazi"
"38","NGWENYA","Davies LC",NA,"MMD","1,288","Chasefu","Davies Lc Ngwenya",1288,0.0585161964472309,4,0,NA,NA,"Eastern","Lundazi"
"39","LUMAYI","Victor",NA,"UPND","5,735","Chavuma","Victor Lumayi",5735,0.423215998819275,1,1,1263,0.0932034536196591,"North-Western","Chavuma"
"40","FWOLOSHI","Fredrick",NA,"IND","4,472","Chavuma","Fredrick Fwoloshi",4472,0.330012545199616,2,0,NA,NA,"North-Western","Chavuma"
"41","SALUKATULA","Rose",NA,"PF","1,712","Chavuma","Rose Salukatula",1712,0.126337539664969,3,0,NA,NA,"North-Western","Chavuma"
"42","SONDOYI","Martin L",NA,"IND","1,206","Chavuma","Martin L Sondoyi",1206,0.0889971219836174,4,0,NA,NA,"North-Western","Chavuma"
"43","NJAPAU","Grace",NA,"IND","352","Chavuma","Grace Njapau",352,0.0259759427348535,5,0,NA,NA,"North-Western","Chavuma"
"44","CHITANDA","Nichoulas",NA,"FDD","74","Chavuma","Nichoulas Chitanda",74,0.00546085159766807,6,0,NA,NA,"North-Western","Chavuma"
"45","SICHALWE","Lawrence J",NA,"PF","36,158","Chawama","Lawrence J Sichalwe",36158,0.6657092884102,1,1,20068,0.369474362514959,"Lusaka","Lusaka"
"46","TEMBO","Potipher",NA,"UPND","16,090","Chawama","Potipher Tembo",16090,0.296234925895241,2,0,NA,NA,"Lusaka","Lusaka"
"47","MUUNDA","Morgan",NA,"FDD","1,628","Chawama","Morgan Muunda",1628,0.0299733038755408,3,0,NA,NA,"Lusaka","Lusaka"
"48","KALUBA","Bywel M",NA,"UNIP","439","Chawama","Bywel M Kaluba",439,0.00808248181901869,4,0,NA,NA,"Lusaka","Lusaka"
"49","KOPULANDE","Sebastian C",NA,"PF","2,909","Chembe","Sebastian C Kopulande",2909,0.506001043659767,1,1,697,0.12123847625674,"Luapula","Chembe"
"50","SONGWE","Mathews B",NA,"IND","2,212","Chembe","Mathews B Songwe",2212,0.384762567403027,2,0,NA,NA,"Luapula","Chembe"
"51","KAISALA","Charles M",NA,"UPND","628","Chembe","Charles M Kaisala",628,0.109236388937206,3,0,NA,NA,"Luapula","Chembe"
"52","KATUTA","Given",NA,"FDD","8,319","Chienge","Given Katuta",8319,0.424092577487765,1,1,643,0.0327793637846656,"Luapula","Chienge"
"53","MUSONDA","Abel",NA,"PF","7,676","Chienge","Abel Musonda",7676,0.3913132137031,2,0,NA,NA,"Luapula","Chienge"
"54","CHANSA","Allan M",NA,"UPND","1,785","Chienge","Allan M Chansa",1785,0.090997145187602,3,0,NA,NA,"Luapula","Chienge"
"55","KALYANGO","Albert C",NA,"IND","938","Chienge","Albert C Kalyango",938,0.0478181076672104,4,0,NA,NA,"Luapula","Chienge"
"56","KAFWANKA","Latham Paul C",NA,"IND","898","Chienge","Latham Paul C Kafwanka",898,0.045778955954323,5,0,NA,NA,"Luapula","Chienge"
"57","NGAMBI","Frank",NA,"PF","17,266","Chifubu","Frank Ngambi",17266,0.597584189942201,1,1,5828,0.201709756688471,"Copperbelt","Ndola"
"58","LUBOZHA","Lloyd",NA,"UPND","11,438","Chifubu","Lloyd Lubozha",11438,0.395874433253729,2,0,NA,NA,"Copperbelt","Ndola"
"59","KAONA","Aaron C",NA,"FDD","189","Chifubu","Aaron C Kaona",189,0.00654137680407019,3,0,NA,NA,"Copperbelt","Ndola"
"60","MECHA","Ponde C.",NA,"PF","11,218","Chifunabuli","Ponde C. Mecha",11218,0.532567413596658,1,1,3659,0.173708697303456,"Luapula","Samfya"
"61","NKONGE","Justine N",NA,"IND","7,559","Chifunabuli","Justine N Nkonge",7559,0.358858716293202,2,0,NA,NA,"Luapula","Samfya"
"62","MPONDA","Justus",NA,"UPND","1,896","Chifunabuli","Justus Mponda",1896,0.0900113938473224,3,0,NA,NA,"Luapula","Samfya"
"63","MUCHENGWA","Chabu",NA,"FDD","391","Chifunabuli","Chabu Muchengwa",391,0.0185624762628181,4,0,NA,NA,"Luapula","Samfya"
"64","MWIINGA","Kabwe C",NA,"UPND","21,308","Chikankata","Kabwe C Mwiinga",21308,0.824325892684437,1,1,18140,0.701767960075825,"Southern","Chikankata"
"65","MWEEMBA","Hecarol N",NA,"RAINBOW","3,168","Chikankata","Hecarol N Mweemba",3168,0.122557932608612,2,0,NA,NA,"Southern","Chikankata"
"66","HAKACHIMA","Kavumbu",NA,"PF","1,250","Chikankata","Kavumbu Hakachima",1250,0.0483577701265039,3,0,NA,NA,"Southern","Chikankata"
"67","ZIMBA","Andrew",NA,"FDD","123","Chikankata","Andrew Zimba",123,0.00475840458044799,4,0,NA,NA,"Southern","Chikankata"
"68","MUKATA","Keith A",NA,"UPND","14,804","Chilanga","Keith A Mukata",14804,0.554768596589844,1,1,4073,0.152632565111486,"Lusaka","Chilanga"
"69","MOONO","Cosmas",NA,"PF","10,731","Chilanga","Cosmas Moono",10731,0.402136031478359,2,0,NA,NA,"Lusaka","Chilanga"
"70","MULEYA","George CC",NA,"IND","519","Chilanga","George Cc Muleya",519,0.0194491287240023,3,0,NA,NA,"Lusaka","Chilanga"
"71","JEMPA","Morris",NA,"FDD","378","Chilanga","Morris Jempa",378,0.0141652613827993,4,0,NA,NA,"Lusaka","Chilanga"
"72","HAMUSOKOLA","Nkumbula",NA,"UNIP","253","Chilanga","Nkumbula Hamusokola",253,0.00948098182499532,5,0,NA,NA,"Lusaka","Chilanga"
"73","MUSUKWA","Richard",NA,"PF","16,310","Chililabombwe","Richard Musukwa",16310,0.595212028319101,1,1,6159,0.22476461572148,"Copperbelt","Chililabombwe"
"74","NG'ANDU","Trudy S",NA,"UPND","10,151","Chililabombwe","Trudy S Ng'andu",10151,0.370447412597621,2,0,NA,NA,"Copperbelt","Chililabombwe"
"75","MWELWA","Moses",NA,"RAINBOW","941","Chililabombwe","Moses Mwelwa",941,0.0343405590832786,3,0,NA,NA,"Copperbelt","Chililabombwe"
"76","FUNDANGA","Rosaria C",NA,"PF","13,412","Chilubi","Rosaria C Fundanga",13412,0.5467367820309,1,1,8025,0.327137091842974,"Northern","Chilubi"
"77","CHELE","Stanislaus",NA,"IND","5,387","Chilubi","Stanislaus Chele",5387,0.219599690187925,2,0,NA,NA,"Northern","Chilubi"
"78","CHISALA","Obius C",NA,"IND","3,217","Chilubi","Obius C Chisala",3217,0.131140189963719,3,0,NA,NA,"Northern","Chilubi"
"79","LUKAKI","Joseph",NA,"UPND","1,243","Chilubi","Joseph Lukaki",1243,0.0506705800823448,4,0,NA,NA,"Northern","Chilubi"
"80","CHISUPA","Chola J",NA,"FDD","1,043","Chilubi","Chola J Chisupa",1043,0.0425176307529249,5,0,NA,NA,"Northern","Chilubi"
"81","PEPALA","Mary",NA,"IND","229","Chilubi","Mary Pepala",229,0.00933512698218581,6,0,NA,NA,"Northern","Chilubi"
"82","CHANSA","Hastings",NA,"PF","9,703","Chimbamilonga","Hastings Chansa",9703,0.625475407722555,1,1,4873,0.314123638238896,"Northern","Nsama"
"83","SIKAZWE","Brian",NA,"UPND","4,830","Chimbamilonga","Brian Sikazwe",4830,0.311351769483659,2,0,NA,NA,"Northern","Nsama"
"84","KABUTA","Gilbert C",NA,"FDD","625","Chimbamilonga","Gilbert C Kabuta",625,0.0402887900470573,3,0,NA,NA,"Northern","Nsama"
"85","ZIMBA","Martin",NA,"IND","355","Chimbamilonga","Martin Zimba",355,0.0228840327467285,4,0,NA,NA,"Northern","Nsama"
"86","MWILA","Elias M",NA,"IND","14,695","Chimwemwe","Elias M Mwila",14695,0.467695735200509,1,1,5584,0.177721196690006,"Copperbelt","Kitwe"
"87","MWENYA","Musenge L",NA,"PF","9,111","Chimwemwe","Musenge L Mwenya",9111,0.289974538510503,2,0,NA,NA,"Copperbelt","Kitwe"
"88","MANENGA","Ronald",NA,"UPND","7,143","Chimwemwe","Ronald Manenga",7143,0.227339274347549,3,0,NA,NA,"Copperbelt","Kitwe"
"89","NKONDE","Ignatius",NA,"RAINBOW","237","Chimwemwe","Ignatius Nkonde",237,0.00754296626352642,4,0,NA,NA,"Copperbelt","Kitwe"
"90","MWANSA","Edward",NA,"FDD","234","Chimwemwe","Edward Mwansa",234,0.00744748567791216,5,0,NA,NA,"Copperbelt","Kitwe"
"91","NKHUWA","Matthew",NA,"PF","17,318","Chingola","Matthew Nkhuwa",17318,0.479709703332318,1,1,4104,0.113681061466441,"Copperbelt","Chingola"
"92","CHISHIKA","Donald",NA,"UPND","13,214","Chingola","Donald Chishika",13214,0.366028641865876,2,0,NA,NA,"Copperbelt","Chingola"
"93","MULENGA","Chipoka",NA,"NAREP","3,458","Chingola","Chipoka Mulenga",3458,0.0957868203096867,3,0,NA,NA,"Copperbelt","Chingola"
"94","MULONGOTI","Mcdonald",NA,"RAINBOW","1,565","Chingola","Mcdonald Mulongoti",1565,0.0433505997063793,4,0,NA,NA,"Copperbelt","Chingola"
"95","CHIPEMBA","Reuben",NA,"FDD","546","Chingola","Reuben Chipemba",546,0.01512423478574,5,0,NA,NA,"Copperbelt","Chingola"
"96","MUKOSA","Kalalwe",NA,"PF","21,422","Chinsali","Kalalwe Mukosa",21422,0.834872754199306,1,1,19321,0.752991153201606,"Muchinga","Chinsali"
"97","KALULU","Kapasa A",NA,"RAINBOW","2,101","Chinsali","Kapasa A Kalulu",2101,0.0818816009977006,2,0,NA,NA,"Muchinga","Chinsali"
"98","KABOMBO","Beddah",NA,"UPND","1,267","Chinsali","Beddah Kabombo",1267,0.0493783857515881,3,0,NA,NA,"Muchinga","Chinsali"
"99","KAMPAMBA","Henry",NA,"UNIP","453","Chinsali","Henry Kampamba",453,0.0176546241084999,4,0,NA,NA,"Muchinga","Chinsali"
"100","NG'ANDU","Bwlaya",NA,"FDD","416","Chinsali","Bwlaya Ng'andu",416,0.016212634942905,5,0,NA,NA,"Muchinga","Chinsali"
"101","MWALE","Vincent",NA,"PF","14,842","Chipangali","Vincent Mwale",14842,0.63443618021715,1,1,10928,0.467128323501753,"Eastern","Chipata"
"102","TEMBO","Champion C",NA,"UPND","3,914","Chipangali","Champion C Tembo",3914,0.167307856715397,2,0,NA,NA,"Eastern","Chipata"
"103","BANDA","Ezra B",NA,"MMD","3,288","Chipangali","Ezra B Banda",3288,0.140548858681713,3,0,NA,NA,"Eastern","Chipata"
"104","PHIRI","Harrison",NA,"RAINBOW","1,350","Chipangali","Harrison Phiri",1350,0.0577071043857399,4,0,NA,NA,"Eastern","Chipata"
"105","MAWERE","Moses",NA,"PF","18,232","Chipata Central","Moses Mawere",18232,0.555345720377703,1,1,9157,0.278921717940908,"Eastern","Chipata"
"106","PHIRI","Mtolo R",NA,"MMD","9,075","Chipata Central","Mtolo R Phiri",9075,0.276424002436796,2,0,NA,NA,"Eastern","Chipata"
"107","UNDI","Nedson",NA,"UPND","4,543","Chipata Central","Nedson Undi",4543,0.138379530916844,3,0,NA,NA,"Eastern","Chipata"
"108","LUNGU","Watson",NA,"UNIP","411","Chipata Central","Watson Lungu",411,0.0125190374657326,4,0,NA,NA,"Eastern","Chipata"
"109","NACHANGWE","Dorcas",NA,"RAINBOW","297","Chipata Central","Dorcas Nachangwe",297,0.00904660371611331,5,0,NA,NA,"Eastern","Chipata"
"110","CHUNGU","Mumamba P",NA,"FDD","272","Chipata Central","Mumamba P Chungu",272,0.00828510508681084,6,0,NA,NA,"Eastern","Chipata"
"111","CHABI","Jewis",NA,"IND","6,594","Chipili","Jewis Chabi",6594,0.529766208724994,1,1,1022,0.0821081385072709,"Luapula","Chipili"
"112","MWILA","Davies",NA,"PF","5,572","Chipili","Davies Mwila",5572,0.447658070217723,2,0,NA,NA,"Luapula","Chipili"
"113","NG'ONA","Kenneth",NA,"UPND","142","Chipili","Kenneth Ng'ona",142,0.0114083714951394,3,0,NA,NA,"Luapula","Chipili"
"114","MULENGA","Rosalyn C",NA,"RAINBOW","139","Chipili","Rosalyn C Mulenga",139,0.0111673495621435,4,0,NA,NA,"Luapula","Chipili"
"115","SYAKALIMA","Douglas M",NA,"UPND","13,755","Chirundu","Douglas M Syakalima",13755,0.730677290836653,1,1,8685,0.461354581673307,"Lusaka","Chirundu"
"116","SIAMAILI","Workwell",NA,"PF","5,070","Chirundu","Workwell Siamaili",5070,0.269322709163347,2,0,NA,NA,"Lusaka","Chirundu"
"117","KASANDA","Chushi C",NA,"UPND","13,430","Chisamba","Chushi C Kasanda",13430,0.606895928419721,1,1,7858,0.355099643002395,"Central","Chisamba"
"118","SHIKWESHA","Daniel",NA,"PF","5,572","Chisamba","Daniel Shikwesha",5572,0.251796285417326,2,0,NA,NA,"Central","Chisamba"
"119","MUTETEKA","Naomi C",NA,"MMD","1,363","Chisamba","Naomi C Muteteka",1363,0.0615933842469158,3,0,NA,NA,"Central","Chisamba"
"120","KAYEWA","Cyprian",NA,"IND","1,302","Chisamba","Cyprian Kayewa",1302,0.0588368204618374,4,0,NA,NA,"Central","Chisamba"
"121","CHIPINDI","Ferdinand N",NA,"RAINBOW","279","Chisamba","Ferdinand N Chipindi",279,0.0126078900989652,5,0,NA,NA,"Central","Chisamba"
"122","HAMWEENE","Obrain E",NA,"FDD","183","Chisamba","Obrain E Hamweene",183,0.00826969135523521,6,0,NA,NA,"Central","Chisamba"
"123","MUTALE","Remember C",NA,"PF","8,714","Chitambo","Remember C Mutale",8714,0.826990604536396,1,1,7492,0.711018316408845,"Central","Chitambo"
"124","MALAMA","Mushili A",NA,"MMD","1,222","Chitambo","Mushili A Malama",1222,0.115972288127551,2,0,NA,NA,"Central","Chitambo"
"125","CHIBWANA","Stanley",NA,"UPND","407","Chitambo","Stanley Chibwana",407,0.0386257948182595,3,0,NA,NA,"Central","Chitambo"
"126","MUKANDO","Crawford K",NA,"FDD","194","Chitambo","Crawford K Mukando",194,0.0184113125177944,4,0,NA,NA,"Central","Chitambo"
"127","MWEETWA","Cornelius",NA,"UPND","44,925","Choma Central","Cornelius Mweetwa",44925,0.85854339060141,1,1,40047,0.765321917939114,"Southern","Choma"
"128","MOONO","Getrude",NA,"PF","4,878","Choma Central","Getrude Moono",4878,0.0932214726622967,2,0,NA,NA,"Southern","Choma"
"129","MUSIYA","Ackim",NA,"IND","1,783","Choma Central","Ackim Musiya",1783,0.0340741873220326,3,0,NA,NA,"Southern","Choma"
"130","HAMWEEMBA","Bernadette",NA,"RAINBOW","741","Choma Central","Bernadette Hamweemba",741,0.0141609494142603,4,0,NA,NA,"Southern","Choma"
"131","MWAKALOMBE","Japhen",NA,"PF","18,688","Chongwe","Japhen Mwakalombe",18688,0.524031181649935,1,1,2857,0.080113285850485,"Lusaka","Chongwe"
"132","MASEBO","Sylvia T",NA,"UPND","15,831","Chongwe","Sylvia T Masebo",15831,0.44391789579945,2,0,NA,NA,"Lusaka","Chongwe"
"133","CHULU","David",NA,"FDD","1,143","Chongwe","David Chulu",1143,0.0320509225506141,3,0,NA,NA,"Lusaka","Chongwe"
"134","SING'OMBE","Edgar",NA,"UPND","23,394","Dundumwezi","Edgar Sing'ombe",23394,0.758216114604265,1,1,18400,0.596357036364815,"Southern","Kalomo"
"135","KALILO","Caster",NA,"IND","4,994","Dundumwezi","Caster Kalilo",4994,0.16185907823945,2,0,NA,NA,"Southern","Kalomo"
"136","HAMOONGA","Kenmax",NA,"IND","1,922","Dundumwezi","Kenmax Hamoonga",1922,0.0622933817333247,3,0,NA,NA,"Southern","Kalomo"
"137","MAINGAILA","Nchimunya P",NA,"PF","493","Dundumwezi","Nchimunya P Maingaila",493,0.0159784792895573,4,0,NA,NA,"Southern","Kalomo"
"138","MATYOLA","Oren",NA,"FDD","51","Dundumwezi","Oren Matyola",51,0.00165294613340248,5,0,NA,NA,"Southern","Kalomo"
"139","MITI","Stephen",NA,"IND","3,491","Feira","Stephen Miti",3491,0.424025264180736,1,1,354,0.0429976922142597,"Lusaka","Luangwa"
"140","NGOMA","Patrick A",NA,"PF","3,137","Feira","Patrick A Ngoma",3137,0.381027571966476,2,0,NA,NA,"Lusaka","Luangwa"
"141","CHIKANI","Luke L",NA,"UPND","1,605","Feira","Luke L Chikani",1605,0.194947163852788,3,0,NA,NA,"Lusaka","Luangwa"
"142","CHISANGANO","Attractor M",NA,"UPND","19,958","Gwembe","Attractor M Chisangano",19958,0.923981481481482,1,1,18583,0.860324074074074,"Southern","Gwembe"
"143","NTUUNDU","Muleya M",NA,"PF","1,375","Gwembe","Muleya M Ntuundu",1375,0.0636574074074074,2,0,NA,NA,"Southern","Gwembe"
"144","MWIINGA","Sebestian",NA,"FDD","267","Gwembe","Sebestian Mwiinga",267,0.0123611111111111,3,0,NA,NA,"Southern","Gwembe"
"145","MUCHIMA","Elijah",NA,"UPND","10,395","Ikeleng'i","Elijah Muchima",10395,0.781872884543061,1,1,8466,0.636780744640842,"North-Western","Ikelenge"
"146","KAWANGU","Abiud",NA,"PF","1,929","Ikeleng'i","Abiud Kawangu",1929,0.145092139902219,2,0,NA,NA,"North-Western","Ikelenge"
"147","KAVWANDA","Richard",NA,"ADD","784","Ikeleng'i","Richard Kavwanda",784,0.0589695374200827,3,0,NA,NA,"North-Western","Ikelenge"
"148","LUWI","Winford S",NA,"FDD","187","Ikeleng'i","Winford S Luwi",187,0.0140654381346371,4,0,NA,NA,"North-Western","Ikelenge"
"149","SICHONE","Malozo",NA,"PF","13,654","Isoka","Malozo Sichone",13654,0.715318524727578,1,1,9058,0.47453897736798,"Muchinga","Isoka"
"150","SIAME","Francis",NA,"UPND","4,596","Isoka","Francis Siame",4596,0.240779547359598,2,0,NA,NA,"Muchinga","Isoka"
"151","KAPILA","Gift",NA,"FDD","838","Isoka","Gift Kapila",838,0.0439019279128248,3,0,NA,NA,"Muchinga","Isoka"
"152","SHABULA","Herbert",NA,"UPND","21,018","Itezhitezhi","Herbert Shabula",21018,0.818426073751022,1,1,18291,0.712238619991433,"Central","Itezhitezhi"
"153","MONDE","Greyford",NA,"PF","2,727","Itezhitezhi","Greyford Monde",2727,0.106187453759589,2,0,NA,NA,"Central","Itezhitezhi"
"154","CHIFUWE","Sheik S",NA,"RAINBOW","1,756","Itezhitezhi","Sheik S Chifuwe",1756,0.0683773996339706,3,0,NA,NA,"Central","Itezhitezhi"
"155","SHILUPIZHI","Irene",NA,"FDD","180","Itezhitezhi","Irene Shilupizhi",180,0.0070090728554184,4,0,NA,NA,"Central","Itezhitezhi"
"156","LUFUMA","Ambrose L",NA,"UPND","10,404","Kabompo","Ambrose L Lufuma",10404,0.742718446601942,1,1,8406,0.600085665334095,"North-Western","Kabompo"
"157","MASUMBA","Kelvin N",NA,"FDD","1,998","Kabompo","Kelvin N Masumba",1998,0.142632781267847,2,0,NA,NA,"North-Western","Kabompo"
"158","KALENGA","Daniel",NA,"PF","1,606","Kabompo","Daniel Kalenga",1606,0.114648772130211,3,0,NA,NA,"North-Western","Kabompo"
"159","LUSAMBO","Bowman",NA,"PF","21,901","Kabushi","Bowman Lusambo",21901,0.764459492477922,1,1,15791,0.551188523159622,"Copperbelt","Ndola"
"160","LUFUNDA","Ernest",NA,"UPND","6,110","Kabushi","Ernest Lufunda",6110,0.213270969318301,2,0,NA,NA,"Copperbelt","Ndola"
"161","CHIBUYE","Anthony M",NA,"FDD","442","Kabushi","Anthony M Chibuye",442,0.0154281126740898,3,0,NA,NA,"Copperbelt","Ndola"
"162","KAPUKULO","Dennis",NA,"RAINBOW","196","Kabushi","Dennis Kapukulo",196,0.0068414255296869,4,0,NA,NA,"Copperbelt","Ndola"
"163","LUBINDA","Given",NA,"PF","31,310","Kabwata","Given Lubinda",31310,0.56775527227229,1,1,14454,0.262099479572778,"Lusaka","Lusaka"
"164","SATA","Mulenga JC",NA,"UPND","16,856","Kabwata","Mulenga Jc Sata",16856,0.305655792699512,2,0,NA,NA,"Lusaka","Lusaka"
"165","TEMBO","Clement",NA,"IND","5,899","Kabwata","Clement Tembo",5899,0.106968647433224,3,0,NA,NA,"Lusaka","Lusaka"
"166","ZULU","Michael S",NA,"IND","673","Kabwata","Michael S Zulu",673,0.0122037463506628,4,0,NA,NA,"Lusaka","Lusaka"
"167","MULILO","Simon",NA,"RAINBOW","211","Kabwata","Simon Mulilo",211,0.00382613741454658,5,0,NA,NA,"Lusaka","Lusaka"
"168","NJOVU","Joseph C",NA,"FDD","198","Kabwata","Joseph C Njovu",198,0.00359040382976408,6,0,NA,NA,"Lusaka","Lusaka"
"169","NGULUBE","Tutwa S",NA,"PF","22,386","Kabwe Central","Tutwa S Ngulube",22386,0.646340407102642,1,1,10137,0.292680814205284,"Central","Kabwe"
"170","MWAMBA","Macdonald",NA,"UPND","12,249","Kabwe Central","Macdonald Mwamba",12249,0.353659592897358,2,0,NA,NA,"Central","Kabwe"
"171","CHONYA","Mirriam B",NA,"UPND","18,542","Kafue","Mirriam B Chonya",18542,0.515170037786175,1,1,2491,0.0692098244054234,"Lusaka","Kafue"
"172","SINKALA","Gibson",NA,"PF","16,051","Kafue","Gibson Sinkala",16051,0.445960213380751,2,0,NA,NA,"Lusaka","Kafue"
"173","MUUNGA","Peter M",NA,"RAINBOW","811","Kafue","Peter M Muunga",811,0.0225327850633474,3,0,NA,NA,"Lusaka","Kafue"
"174","MUTENDA","Anastazia",NA,"UNIP","588","Kafue","Anastazia Mutenda",588,0.0163369637697266,4,0,NA,NA,"Lusaka","Kafue"
"175","KABAMBA","Joseph",NA,"PF","3,869","Kafulafuta","Joseph Kabamba",3869,0.385396951887638,1,1,603,0.0600657435999602,"Copperbelt","Masaiti"
"176","CHITAFU","Brian K",NA,"UPND","3,266","Kafulafuta","Brian K Chitafu",3266,0.325331208287678,2,0,NA,NA,"Copperbelt","Masaiti"
"177","MULEBWA","Jeffrey",NA,"IND","1,753","Kafulafuta","Jeffrey Mulebwa",1753,0.174618985954776,3,0,NA,NA,"Copperbelt","Masaiti"
"178","MATOWE","Benson",NA,"FDD","648","Kafulafuta","Benson Matowe",648,0.0645482617790617,4,0,NA,NA,"Copperbelt","Masaiti"
