col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
,,,,LUBASI Phillip N.,PF,124,,,
,,,,,,"11,315",266,"11,581","15,642"
,,,,,,,,,
,,,143 Mongu Central,MULYATA Joseph,MMD,"10,438",,,
,,,,SIMENDA Francis Z.,ULP,"6,090",,,
,,,,MUBUKWANU Nathaniel M.,Independent,"5,569",,,
,,,,MWANAWINA Mbanga H.,"UPND, FDD, UNIP (UDA)",605,,,
,,,,KALIMOSHO Mukelabai,Independent,209,,,
,,,,MUNEMBO Munembo,APC,161,,,
,,,,,,"23,072",492,"23,564","34,991"
,,,,,,,,,
,,,144 Nalikwanda,LUNGWANGWA,MMD,"6,394",,,
,,,,Lungwangwa G.,,,,,
,,,,KALUMANIA Simasiku,ULP,"1,960",,,
,,,,MWAYANGUBA Bertha M.,Independent,"1,110",,,
,,,,SAKWIYA Kanatu S.,"UPND, FDD, UNIP (UDA)",349,,,
,,,,LIAMBANGO Wamumei E.,Independent,286,,,
,,,,MUNDIA Sakubita O.,APC,154,,,
,,,,,,"10,253",366,"10,619","16,635"
,,,,,,,,,
,,SENANGA,145 Nalolo,MWANGALA Mubita M.,MMD,"7,179",,,
,,,,WINA Inonge M.,ULP,"5,442",,,
,,,,MUBITA Mbalama I.,"UPND, FDD, UNIP (UDA)",938,,,
,,,,ANAMELA Eunice K.,Heritage,326,,,
,,,,NAWA Patrick,Independent,193,,,
,,,,NDIYOYI Kanyata,APC,78,,,
,,,,HANGUBO Fabian,Independent,59,,,
,,,CONSTITUENCY,CANDIDATE‰ÛªS,,,,TOTAL,TOTAL
,PROVINCE,COUNCIL,NO./NAME,,PARTY,VOTES,,VOTES,REGISTERED
,,,,,,REC‰ÛªD,REJECTED,CAST,VOTERS
,,,,,,,,,
,WESTERN,SENANGA,146 Senanga Central,SINYINDA Clement W.,MMD,"10,979",,,
,,,,SITUMBEKO Walusiku A.,ULP,"2,262",,,
,,,,ANAMELA Njekwa E.,"UPND, FDD, UNIP (UDA)","1,450",,,
,,,,NAMAKANDO Samuel A.,Independent,644,,,
,,,,NGENDA Wamunyima,Independent,436,,,
,,,,,,"15,771",395,"16,166","23,538"
,,,,,,,,,
,,SESHEKE,148 Mulobezi,MABENGA Michael M.,MMD,"4,641",,,
,,,,MUSIALELA Fabian,"UPND, FDD, UNIP (UDA)","2,575",,,
,,,,,,"7,216",168,"7,384","10,752"
,,,,,,,,,
,,,149 Mwandi,KAINGU Liwanga,MMD,"5,179",,,
,,,,ALISINDA Mutonga J.,"UPND, FDD, UNIP (UDA)","1,691",,,
,,,,,,"6,870",138,"7,008","9,844"
,,,,,,,,,
,,,150 Sesheke Central,MUFALALI Adons S.,MMD,"7,126",,,
,,,,LIBELEKI Mwangala R.,Independent,"1,482",,,
,,,,LLOYD David P.,"UPND, FDD, UNIP (UDA)",819,,,
,,,,HARRINGTON Geoffrey A.,ULP,280,,,
,,,,LUBINDA Matomola,Independent,245,,,
,,,,,,"9,952",223,"10,175","14,592"
,,,,,,,,,
,,SHANGOMBO,147 Sinjembela,MUBIKA Mubika,MMD,"11,754",,,
,,,,NJEULU Poniso,ULP,"7,894",,,
,,,,LIYUNGU Paul M.,Independent,"1,347",,,
,,,,,,"20,995",653,"21,648","31,458"
