col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
,,,KANTA Stephen M.,"UPND, FDD, UNIP (UDA)",471,,,,
,,,,,"13,415",120,"13,535","20,792",
,,,,,,,,,
,MUFULIRA,026 Kankoyo,CHANDA Percy,PF,"5,081",,,,
,,,SANDI Emmanuel A.,MMD,"4,783",,,,
,,,MWANSA Victoria N.,Independent,924,,,,
,,,NYUNDU Moses,Independent,583,,,,
,,,ZULU Steven,"UPND, FDD, UNIP (UDA)",481,,,,
,,,MANDELE Edith,PUDD,121,,,,
,,,,,"11,973",207,"12,180","15,780",
,,,,,,,,,
,,027 Kantanshi,MUKANGA Yamfwa D.,PF,"12,366",,,,
,,,MAMBWE Harrington,MMD,"4,557",,,,
,,,SIMIKA Baidon,"UPND, FDD, UNIP (UDA)",701,,,,
,,,CHILUMBA Evaristo,Heritage,676,,,,
,,,,,"18,300",314,"18,614","24,084",
,,,,,,,,,
,,028 Mufulira,MASIYE Marjory M.,PF,"7,113",,,,
,,,MUSHINGE Chapa G.,MMD,"6,505",,,,
,,,KABANGO Oliver,"UPND, FDD, UNIP (UDA)","1,010",,,,
,,,,,"14,628",388,"15,016","20,278",
,,,,,,,,,
,LUFWANYAMA,030 Lufwanyama,PUMA Lwipa F. (Dr.),MMD,"10,294",,,,
,,,CHIMENA Rodgers,Heritage,"1,651",,,,
,,,MWASHI Boazi S.,"UPND, FDD, UNIP (UDA)","1,200",,,,
,,,PHIRI Phillip,PF,"1,068",,,,
,,,KAMALONI Stephen,Independent,"1,049",,,,
,,,NKUMBULA Joseph,APC,477,,,,
,,CONSTITUENCY,CANDIDATE‰ÛªS,,,,TOTAL,TOTAL,
PROVINCE,COUNCIL,NO./NAME,,PARTY,VOTES,,VOTES,REGISTERED,
,,,,,REC‰ÛªD,REJECTED,CAST,VOTERS,
,,,,,,,,,
COPPERBELT,NDOLA,033 Bwana Mkubwa,ZULU Joseph K.,PF,"6,615",,,,
,,,BWALYA-CHIBULU Barbara,MMD,"5,139",,,,
,,,SIMALONGA Lenard,"UPND, FDD, UNIP (UDA)","1,426",,,,
,,,CHIPOKA Thomson,Independent,508,,,,
,,,MWANZA Greenford,Heritage,340,,,,
,,,,,"14,028",401,"14,429","34,126",
,,,,,,,,,
,,034 Chifubu,BWALYA Benson M.,PF,"10,815",,,,
,,,KONIE Victor,MMD,"7,969",,,,
,,,SHAMAKAMBA Thom T.,"UPND, FDD, UNIP (UDA)","2,183",,,,
,,,MWELWA Ngosa H.,PUDD,948,,,,
,,,,,"21,915",464,"22,379","29,238",
,,,,,,,,,
,,035 Kabushi,MSICHILI Lombani P.,PF,"11,676",,,,
,,,MUKALA Geoffrey P.,MMD,"8,557",,,,
,,,KANYANTA Luka M.,"UPND, FDD, UNIP (UDA)","1,764",,,,
,,,SAMABI Lawrence,Heritage,474,,,,
,,,IKASHAKALA Mubita,NDF,433,,,,
,,,,,"22,904",411,"23,315","29,644",
,,,,,,,,,
,,036 Ndola Central,MUSHILI Mark C.,PF,"14,056",,,,
,,,ZAMBEZI Mary M.,MMD,"7,743",,,,
,,,TAYALI Frank M.,"UPND, FDD, UNIP (UDA)","3,203",,,,
,,,MUSONDA Isaac C.,PUDD,"1,556",,,,
,,,,,"26,558",614,"27,172","38,767",
,,,,,,,,,
,,,,,,,,,
,MASAITI,029 Kafulafuta,MPOMBO George W.,MMD,"7,595",,,,
,,,ZULU Patrick,PF,"2,664",,,,
,,,,,"10,259",404,"10,663","14,233",
,,,,,,,,,
,,031 Masaiti,LUNDWE Gladies,MMD,"11,288",,,,
,,,ZULU Clifford,PF,"1,500",,,,
,,,MUTAYA Mobby T.,"UPND, FDD, UNIP (UDA)",671,,,,
,,,,,"13,459",284,"13,743","21,002",
,,,,,,,,,
,,CONSTITUENCY,CANDIDATE‰ÛªS,,,,TOTAL,TOTAL,
PROVINCE,COUNCIL,NO./NAME,,PARTY,VOTES,,VOTES,REGISTERED,
,,,,,REC‰ÛªD,REJECTED,CAST,VOTERS,
COPPERBELT,MPONGWE,032 Mpongwe,NAMULAMBE Gabriel,MMD,"14,094",,,,
,,,ILUNGA Jack,"UPND, FDD, UNIP (UDA)","2,117",,,,
,,,KALONGELWA Elizabeth,PF,"1,950",,,,
,,,,,"18,161",495,"18,656","29,722",
,,,,,,,,,
,,,,,,,,,
EASTERN,CHADIZA,037 Chadiza,MBEWE Allan,MMD,"5,903",,,,
,,,TEMBO  Salatiel,"UPND, FDD, UNIP (UDA)","5,030",,,,
,,,ZULU Phillip M.,Independent,"1,071",,,,
,,,PHIRI Almakio K.,PF,377,,,,
,,,MZYECE Edward J.,Heritage,300,,,,
,,,,,"12,681",514,"13,195","18,230",
,,,,,,,,,
,,038 Vubwi,KAZONGA Eustarckio,MMD,"3,271",,,,
,,,PHIRI Lucas,"UPND, FDD, UNIP (UDA)","2,382",,,,
,,,SAKALA Maxensio M.,Independent,871,,,,
,,,PHIRI Phillip G.,Independent,564,,,,
,,,BANDA Avito F.,Heritage,520,,,,
,,,BANDA Patrick,Independent,352,,,,
