candidate_region,Votes,pct_cast_web,pct_registered_web,rejected_ballotpapers,pct_rejected_web,total_votes,total_registered,turnout_web
"NAWAKWI Edith Z ,FDD",871,3.30%,2.14%,,,,,
"HICHILEMA Hakainde  ,UPND",842,3.19%,2.07%,,,,,
"MIYANDA Godfrey K ,HERITAGE",51,0.19%,0.13%,,,,,
"KAUNDA Tilyenji C ,UNIP",29,0.11%,0.07%,,,,,
"CHIPIMO Elias C ,NAREP",26,0.10%,0.06%,,,,,
"MAGANDE Ngandu P ,NMP",24,0.09%,0.06%,,,,,
"MILUPI Charles L ,ADD",20,0.08%,0.05%,,,,,
"MUTESA Fredrick  ,ZED",6,0.02%,0.01%,,,,,
,"26,189",,,194,0.74%,"26,383","40,625",64.94%
00000018 KALULUSHI,,,,,,,,
"SATA Micheal C ,PF","19,255",66.19%,40.20%,,,,,
"BANDA Rupiah B ,MMD","7,960",27.36%,16.62%,,,,,
"HICHILEMA Hakainde  ,UPND","1,197",4.11%,2.50%,,,,,
"CHIPIMO Elias C ,NAREP",72,0.25%,0.15%,,,,,
"MAGANDE Ngandu P ,NMP",58,0.20%,0.12%,,,,,
"MILUPI Charles L ,ADD",47,0.16%,0.10%,,,,,
"MIYANDA Godfrey K ,HERITAGE",31,0.11%,0.06%,,,,,
"KAUNDA Tilyenji C ,UNIP",31,0.11%,0.06%,,,,,
"NAWAKWI Edith Z ,FDD",22,0.08%,0.05%,,,,,
"MUTESA Fredrick  ,ZED",10,0.03%,0.02%,,,,,
,"28,683",,,409,1.41%,"29,092","47,900",60.73%
00000019 CHIMWEMWE,,,,,,,,
"SATA Micheal C ,PF","20,712",74.24%,45.77%,,,,,
"BANDA Rupiah B ,MMD","6,309",22.61%,13.94%,,,,,
"HICHILEMA Hakainde  ,UPND",688,2.47%,1.52%,,,,,
"CHIPIMO Elias C ,NAREP",34,0.12%,0.08%,,,,,
"MILUPI Charles L ,ADD",32,0.11%,0.07%,,,,,
"MAGANDE Ngandu P ,NMP",30,0.11%,0.07%,,,,,
"KAUNDA Tilyenji C ,UNIP",24,0.09%,0.05%,,,,,
"MIYANDA Godfrey K ,HERITAGE",22,0.08%,0.05%,,,,,
"NAWAKWI Edith Z ,FDD",15,0.05%,0.03%,,,,,
"MUTESA Fredrick  ,ZED",3,0.01%,0.01%,,,,,
,"27,869",,,29,0.10%,"27,898","45,257",61.64%
00000020 KAMFINSA,,,,,,,,
"SATA Micheal C ,PF","14,730",72.69%,44.14%,,,,,
"BANDA Rupiah B ,MMD","4,509",22.25%,13.51%,,,,,
"HICHILEMA Hakainde  ,UPND",666,3.29%,2.00%,,,,,
"CHIPIMO Elias C ,NAREP",37,0.18%,0.11%,,,,,
"MAGANDE Ngandu P ,NMP",32,0.16%,0.10%,,,,,
"MILUPI Charles L ,ADD",27,0.13%,0.08%,,,,,
"MIYANDA Godfrey K ,HERITAGE",26,0.13%,0.08%,,,,,
"NAWAKWI Edith Z ,FDD",18,0.09%,0.05%,,,,,
"KAUNDA Tilyenji C ,UNIP",13,0.06%,0.04%,,,,,
"MUTESA Fredrick  ,ZED",5,0.02%,0.01%,,,,,
,"20,063",,,201,0.99%,"20,264","33,369",60.73%
00000021 KWACHA,,,,,,,,
"SATA Micheal C ,PF","24,583",71.46%,44.04%,,,,,
"BANDA Rupiah B ,MMD","7,890",22.94%,14.14%,,,,,
"HICHILEMA Hakainde  ,UPND","1,128",3.28%,2.02%,,,,,
"CHIPIMO Elias C ,NAREP",104,0.30%,0.19%,,,,,
"MIYANDA Godfrey K ,HERITAGE",66,0.19%,0.12%,,,,,
"MILUPI Charles L ,ADD",64,0.19%,0.11%,,,,,
"MAGANDE Ngandu P ,NMP",60,0.17%,0.11%,,,,,
"KAUNDA Tilyenji C ,UNIP",34,0.10%,0.06%,,,,,
"NAWAKWI Edith Z ,FDD",27,0.08%,0.05%,,,,,
"MUTESA Fredrick  ,ZED",18,0.05%,0.03%,,,,,
,"33,974",,,425,1.24%,"34,399","55,818",61.63%
00000022 NKANA,,,,,,,,
"SATA Micheal C ,PF","20,391",80.82%,52.16%,,,,,
"BANDA Rupiah B ,MMD","3,637",14.41%,9.30%,,,,,
"HICHILEMA Hakainde  ,UPND",807,3.20%,2.06%,,,,,
"CHIPIMO Elias C ,NAREP",44,0.17%,0.11%,,,,,
"MIYANDA Godfrey K ,HERITAGE",35,0.14%,0.09%,,,,,
"MAGANDE Ngandu P ,NMP",29,0.11%,0.07%,,,,,
"MILUPI Charles L ,ADD",28,0.11%,0.07%,,,,,
"NAWAKWI Edith Z ,FDD",18,0.07%,0.05%,,,,,
"KAUNDA Tilyenji C ,UNIP",11,0.04%,0.03%,,,,,
"MUTESA Fredrick  ,ZED",9,0.04%,0.02%,,,,,
,"25,009",,,222,0.88%,"25,231","39,094",64.54%
00000023 WUSAKILE,,,,,,,,
"SATA Micheal C ,PF","20,768",81.42%,53.57%,,,,,
"BANDA Rupiah B ,MMD","3,901",15.29%,10.06%,,,,,
"HICHILEMA Hakainde  ,UPND",517,2.03%,1.33%,,,,,
"MILUPI Charles L ,ADD",37,0.15%,0.10%,,,,,
"NAWAKWI Edith Z ,FDD",23,0.09%,0.06%,,,,,
"CHIPIMO Elias C ,NAREP",19,0.07%,0.05%,,,,,
"MIYANDA Godfrey K ,HERITAGE",14,0.05%,0.04%,,,,,
"KAUNDA Tilyenji C ,UNIP",10,0.04%,0.03%,,,,,
"MAGANDE Ngandu P ,NMP",9,0.04%,0.02%,,,,,
"MUTESA Fredrick  ,ZED",7,0.03%,0.02%,,,,,
,"25,305",,,201,0.79%,"25,506","38,766",65.79%
00000024 LUANSHYA,,,,,,,,
"SATA Micheal C ,PF","15,860",62.57%,35.92%,,,,,
"BANDA Rupiah B ,MMD","7,603",30.00%,17.22%,,,,,
"HICHILEMA Hakainde  ,UPND",904,3.57%,2.05%,,,,,
"NAWAKWI Edith Z ,FDD",260,1.03%,0.59%,,,,,
"MAGANDE Ngandu P ,NMP",90,0.36%,0.20%,,,,,
"CHIPIMO Elias C ,NAREP",69,0.27%,0.16%,,,,,
"MIYANDA Godfrey K ,HERITAGE",43,0.17%,0.10%,,,,,
"KAUNDA Tilyenji C ,UNIP",43,0.17%,0.10%,,,,,
"MILUPI Charles L ,ADD",19,0.07%,0.04%,,,,,
"MUTESA Fredrick  ,ZED",13,0.05%,0.03%,,,,,
,"24,904",,,442,1.74%,"25,346","44,159",57.40%
00000025 ROAN,,,,,,,,
"SATA Micheal C ,PF","12,950",68.41%,44.63%,,,,,
"BANDA Rupiah B ,MMD","5,301",28.00%,18.27%,,,,,
"HICHILEMA Hakainde  ,UPND",321,1.70%,1.11%,,,,,
"MAGANDE Ngandu P ,NMP",24,0.13%,0.08%,,,,,
"CHIPIMO Elias C ,NAREP",21,0.11%,0.07%,,,,,
"NAWAKWI Edith Z ,FDD",20,0.11%,0.07%,,,,,
"MIYANDA Godfrey K ,HERITAGE",15,0.08%,0.05%,,,,,
"MILUPI Charles L ,ADD",6,0.03%,0.02%,,,,,
"KAUNDA Tilyenji C ,UNIP",5,0.03%,0.02%,,,,,
"MUTESA Fredrick  ,ZED",3,0.02%,0.01%,,,,,
,"18,666",,,264,1.39%,"18,930","29,019",65.23%
00000026 KANKOYO,,,,,,,,
"SATA Micheal C ,PF","9,642",75.10%,46.83%,,,,,
"BANDA Rupiah B ,MMD","2,794",21.76%,13.57%,,,,,
"HICHILEMA Hakainde  ,UPND",303,2.36%,1.47%,,,,,
"CHIPIMO Elias C ,NAREP",30,0.23%,0.15%,,,,,
"MIYANDA Godfrey K ,HERITAGE",15,0.12%,0.07%,,,,,
"MAGANDE Ngandu P ,NMP",15,0.12%,0.07%,,,,,
"KAUNDA Tilyenji C ,UNIP",12,0.09%,0.06%,,,,,
"MILUPI Charles L ,ADD",10,0.08%,0.05%,,,,,
"NAWAKWI Edith Z ,FDD",5,0.04%,0.02%,,,,,
"MUTESA Fredrick  ,ZED",3,0.02%,0.01%,,,,,
