candidate_region,Votes,pct_cast_web,pct_registered_web,rejected_ballotpapers,pct_rejected_web,total_votes,total_registered,turnout_web
"MAGANDE Ngandu P ,NMP",47,0.24%,0.14%,,,,,
"KAUNDA Tilyenji C ,UNIP",35,0.18%,0.10%,,,,,
"NAWAKWI Edith Z ,FDD",23,0.12%,0.07%,,,,,
"MUTESA Fredrick  ,ZED",23,0.12%,0.07%,,,,,
"MILUPI Charles L ,ADD",14,0.07%,0.04%,,,,,
"MIYANDA Godfrey K ,HERITAGE",7,0.04%,0.02%,,,,,
,"19,364",,,457,2.31%,"19,821","34,264",57.85%
00000069 LUAPULA,,,,,,,,
"SATA Micheal C ,PF","4,187",60.91%,35.69%,,,,,
"BANDA Rupiah B ,MMD","2,159",31.41%,18.40%,,,,,
"NAWAKWI Edith Z ,FDD",27,0.39%,0.23%,,,,,
"CHIPIMO Elias C ,NAREP",22,0.32%,0.19%,,,,,
"KAUNDA Tilyenji C ,UNIP",20,0.29%,0.17%,,,,,
"MAGANDE Ngandu P ,NMP",19,0.28%,0.16%,,,,,
"MILUPI Charles L ,ADD",15,0.22%,0.13%,,,,,
"HICHILEMA Hakainde  ,UPND",13,0.19%,0.11%,,,,,
"MUTESA Fredrick  ,ZED",12,0.17%,0.10%,,,,,
"MIYANDA Godfrey K ,HERITAGE",6,0.09%,0.05%,,,,,
,"6,480",,,394,5.73%,"6,874","11,733",58.59%
00000070 KAFUE,,,,,,,,
"BANDA Rupiah B ,MMD","9,223",36.92%,19.74%,,,,,
"SATA Micheal C ,PF","8,808",35.26%,18.86%,,,,,
"HICHILEMA Hakainde  ,UPND","6,030",24.14%,12.91%,,,,,
"KAUNDA Tilyenji C ,UNIP",264,1.06%,0.57%,,,,,
"CHIPIMO Elias C ,NAREP",73,0.29%,0.16%,,,,,
"MILUPI Charles L ,ADD",60,0.24%,0.13%,,,,,
"MAGANDE Ngandu P ,NMP",59,0.24%,0.13%,,,,,
"NAWAKWI Edith Z ,FDD",44,0.18%,0.09%,,,,,
"MIYANDA Godfrey K ,HERITAGE",36,0.14%,0.08%,,,,,
"MUTESA Fredrick  ,ZED",14,0.06%,0.03%,,,,,
,"24,611",,,369,1.48%,"24,980","46,713",53.48%
00000071 FEIRA,,,,,,,,
"BANDA Rupiah B ,MMD","3,853",52.89%,34.21%,,,,,
"SATA Micheal C ,PF","2,408",33.05%,21.38%,,,,,
"HICHILEMA Hakainde  ,UPND",742,10.19%,6.59%,,,,,
"KAUNDA Tilyenji C ,UNIP",37,0.51%,0.33%,,,,,
"CHIPIMO Elias C ,NAREP",26,0.36%,0.23%,,,,,
"MIYANDA Godfrey K ,HERITAGE",12,0.16%,0.11%,,,,,
"NAWAKWI Edith Z ,FDD",12,0.16%,0.11%,,,,,
"MILUPI Charles L ,ADD",11,0.15%,0.10%,,,,,
"MAGANDE Ngandu P ,NMP",11,0.15%,0.10%,,,,,
"MUTESA Fredrick  ,ZED",3,0.04%,0.03%,,,,,
,"7,115",,,170,2.33%,"7,285","11,264",64.68%
00000072 CHILANGA,,,,,,,,
"BANDA Rupiah B ,MMD","6,369",37.14%,18.80%,,,,,
"SATA Micheal C ,PF","5,720",33.35%,16.89%,,,,,
"HICHILEMA Hakainde  ,UPND","4,530",26.42%,13.37%,,,,,
"CHIPIMO Elias C ,NAREP",68,0.40%,0.20%,,,,,
"MILUPI Charles L ,ADD",38,0.22%,0.11%,,,,,
"KAUNDA Tilyenji C ,UNIP",34,0.20%,0.10%,,,,,
"MAGANDE Ngandu P ,NMP",22,0.13%,0.06%,,,,,
"MIYANDA Godfrey K ,HERITAGE",20,0.12%,0.06%,,,,,
"NAWAKWI Edith Z ,FDD",16,0.09%,0.05%,,,,,
"MUTESA Fredrick  ,ZED",3,0.02%,0.01%,,,,,
,"16,820",,,329,1.92%,"17,149","33,870",50.63%
00000073 CHONGWE,,,,,,,,
"BANDA Rupiah B ,MMD","15,044",57.39%,28.84%,,,,,
"SATA Micheal C ,PF","7,436",28.37%,14.25%,,,,,
"HICHILEMA Hakainde  ,UPND","2,772",10.58%,5.31%,,,,,
"CHIPIMO Elias C ,NAREP",63,0.24%,0.12%,,,,,
"NAWAKWI Edith Z ,FDD",43,0.16%,0.08%,,,,,
"KAUNDA Tilyenji C ,UNIP",40,0.15%,0.08%,,,,,
"MAGANDE Ngandu P ,NMP",38,0.14%,0.07%,,,,,
"MILUPI Charles L ,ADD",36,0.14%,0.07%,,,,,
"MIYANDA Godfrey K ,HERITAGE",22,0.08%,0.04%,,,,,
"MUTESA Fredrick  ,ZED",15,0.06%,0.03%,,,,,
,"25,509",,,703,2.68%,"26,212","52,166",50.25%
00000074 RUFUNSA,,,,,,,,
"BANDA Rupiah B ,MMD","6,614",66.12%,31.92%,,,,,
"HICHILEMA Hakainde  ,UPND","1,489",14.89%,7.19%,,,,,
"SATA Micheal C ,PF","1,368",13.68%,6.60%,,,,,
"NAWAKWI Edith Z ,FDD",51,0.51%,0.25%,,,,,
"CHIPIMO Elias C ,NAREP",29,0.29%,0.14%,,,,,
"KAUNDA Tilyenji C ,UNIP",28,0.28%,0.14%,,,,,
"MAGANDE Ngandu P ,NMP",23,0.23%,0.11%,,,,,
"MIYANDA Godfrey K ,HERITAGE",11,0.11%,0.05%,,,,,
"MILUPI Charles L ,ADD",10,0.10%,0.05%,,,,,
"MUTESA Fredrick  ,ZED",9,0.09%,0.04%,,,,,
,"9,632",,,371,3.71%,"10,003","20,720",48.28%
00000075 CHAWAMA,,,,,,,,
"SATA Micheal C ,PF","20,887",60.26%,30.17%,,,,,
"BANDA Rupiah B ,MMD","9,312",26.86%,13.45%,,,,,
"HICHILEMA Hakainde  ,UPND","3,921",11.31%,5.66%,,,,,
"NAWAKWI Edith Z ,FDD",224,0.65%,0.32%,,,,,
"KAUNDA Tilyenji C ,UNIP",114,0.33%,0.16%,,,,,
"MAGANDE Ngandu P ,NMP",47,0.14%,0.07%,,,,,
"CHIPIMO Elias C ,NAREP",44,0.13%,0.06%,,,,,
"MILUPI Charles L ,ADD",39,0.11%,0.06%,,,,,
"MIYANDA Godfrey K ,HERITAGE",20,0.06%,0.03%,,,,,
"MUTESA Fredrick  ,ZED",11,0.03%,0.02%,,,,,
,"34,619",,,45,0.13%,"34,664","69,228",50.07%
00000076 KABWATA,,,,,,,,
"SATA Micheal C ,PF","26,007",64.05%,35.71%,,,,,
"BANDA Rupiah B ,MMD","8,563",21.09%,11.76%,,,,,
"HICHILEMA Hakainde  ,UPND","4,747",11.69%,6.52%,,,,,
"CHIPIMO Elias C ,NAREP",777,1.91%,1.07%,,,,,
"MIYANDA Godfrey K ,HERITAGE",78,0.19%,0.11%,,,,,
"MILUPI Charles L ,ADD",65,0.16%,0.09%,,,,,
"MAGANDE Ngandu P ,NMP",32,0.08%,0.04%,,,,,
"NAWAKWI Edith Z ,FDD",29,0.07%,0.04%,,,,,
"MUTESA Fredrick  ,ZED",26,0.06%,0.04%,,,,,
"KAUNDA Tilyenji C ,UNIP",18,0.04%,0.02%,,,,,
,"40,342",,,261,0.64%,"40,603","72,831",55.75%
00000077 KANYAMA,,,,,,,,
"SATA Micheal C ,PF","22,101",56.86%,24.62%,,,,,
"BANDA Rupiah B ,MMD","10,185",26.20%,11.34%,,,,,
"HICHILEMA Hakainde  ,UPND","5,967",15.35%,6.65%,,,,,
"CHIPIMO Elias C ,NAREP",84,0.22%,0.09%,,,,,
"KAUNDA Tilyenji C ,UNIP",74,0.19%,0.08%,,,,,
"MAGANDE Ngandu P ,NMP",40,0.10%,0.04%,,,,,
"MILUPI Charles L ,ADD",38,0.10%,0.04%,,,,,
"NAWAKWI Edith Z ,FDD",27,0.07%,0.03%,,,,,
"MIYANDA Godfrey K ,HERITAGE",24,0.06%,0.03%,,,,,
"MUTESA Fredrick  ,ZED",12,0.03%,0.01%,,,,,
,"38,552",,,315,0.81%,"38,867","89,777",43.29%
00000078 LUSAKA CENTRAL,,,,,,,,
"SATA Micheal C ,PF","20,255",62.42%,33.70%,,,,,
"BANDA Rupiah B ,MMD","8,367",25.78%,13.92%,,,,,
"HICHILEMA Hakainde  ,UPND","3,360",10.35%,5.59%,,,,,
"CHIPIMO Elias C ,NAREP",243,0.75%,0.40%,,,,,
"MILUPI Charles L ,ADD",63,0.19%,0.10%,,,,,
"MIYANDA Godfrey K ,HERITAGE",60,0.18%,0.10%,,,,,
"NAWAKWI Edith Z ,FDD",33,0.10%,0.05%,,,,,
"MAGANDE Ngandu P ,NMP",28,0.09%,0.05%,,,,,
"MUTESA Fredrick  ,ZED",24,0.07%,0.04%,,,,,
"KAUNDA Tilyenji C ,UNIP",17,0.05%,0.03%,,,,,
,"32,450",,,0,0.00%,"32,450","60,099",53.99%
00000079 MANDEVU,,,,,,,,
"SATA Micheal C ,PF","37,087",65.15%,34.03%,,,,,
"BANDA Rupiah B ,MMD","16,378",28.77%,15.03%,,,,,
"HICHILEMA Hakainde  ,UPND","2,901",5.10%,2.66%,,,,,
"CHIPIMO Elias C ,NAREP",128,0.22%,0.12%,,,,,
"MAGANDE Ngandu P ,NMP",124,0.22%,0.11%,,,,,
"KAUNDA Tilyenji C ,UNIP",116,0.20%,0.11%,,,,,
"NAWAKWI Edith Z ,FDD",59,0.10%,0.05%,,,,,
"MIYANDA Godfrey K ,HERITAGE",55,0.10%,0.05%,,,,,
"MILUPI Charles L ,ADD",45,0.08%,0.04%,,,,,
"MUTESA Fredrick  ,ZED",31,0.05%,0.03%,,,,,
,"56,924",,,0,0.00%,"56,924","108,978",52.23%
00000080 MATERO,,,,,,,,
"SATA Micheal C ,PF","37,599",68.49%,38.44%,,,,,
"BANDA Rupiah B ,MMD","13,496",24.58%,13.80%,,,,,
"HICHILEMA Hakainde  ,UPND","3,204",5.84%,3.28%,,,,,
"CHIPIMO Elias C ,NAREP",185,0.34%,0.19%,,,,,
"KAUNDA Tilyenji C ,UNIP",86,0.16%,0.09%,,,,,
"MIYANDA Godfrey K ,HERITAGE",59,0.11%,0.06%,,,,,
"NAWAKWI Edith Z ,FDD",44,0.08%,0.04%,,,,,
"MILUPI Charles L ,ADD",38,0.07%,0.04%,,,,,
"MAGANDE Ngandu P ,NMP",35,0.06%,0.04%,,,,,
"MUTESA Fredrick  ,ZED",16,0.03%,0.02%,,,,,
,"54,762",,,136,0.25%,"54,898","97,817",56.12%
00000081 MUNALI,,,,,,,,
"SATA Micheal C ,PF","35,249",60.76%,32.34%,,,,,
"BANDA Rupiah B ,MMD","16,249",28.01%,14.91%,,,,,
"HICHILEMA Hakainde  ,UPND","5,734",9.88%,5.26%,,,,,
"CHIPIMO Elias C ,NAREP",282,0.49%,0.26%,,,,,
"MAGANDE Ngandu P ,NMP",107,0.18%,0.10%,,,,,
"KAUNDA Tilyenji C ,UNIP",93,0.16%,0.09%,,,,,
"MILUPI Charles L ,ADD",90,0.16%,0.08%,,,,,
"MIYANDA Godfrey K ,HERITAGE",82,0.14%,0.08%,,,,,
"NAWAKWI Edith Z ,FDD",78,0.13%,0.07%,,,,,
"MUTESA Fredrick  ,ZED",50,0.09%,0.05%,,,,,
,"58,014",,,0,0.00%,"58,014","108,995",53.23%
00000082 CHILUBI,,,,,,,,
"SATA Micheal C ,PF","14,900",70.49%,39.25%,,,,,
"BANDA Rupiah B ,MMD","5,040",23.84%,13.28%,,,,,
"HICHILEMA Hakainde  ,UPND",243,1.15%,0.64%,,,,,
"NAWAKWI Edith Z ,FDD",102,0.48%,0.27%,,,,,
"CHIPIMO Elias C ,NAREP",78,0.37%,0.21%,,,,,
"MAGANDE Ngandu P ,NMP",71,0.34%,0.19%,,,,,
"KAUNDA Tilyenji C ,UNIP",58,0.27%,0.15%,,,,,
"MILUPI Charles L ,ADD",39,0.18%,0.10%,,,,,
"MIYANDA Godfrey K ,HERITAGE",18,0.09%,0.05%,,,,,
"MUTESA Fredrick  ,ZED",17,0.08%,0.04%,,,,,
,"20,566",,,572,2.71%,"21,138","37,957",55.69%
00000083 CHINSALI,,,,,,,,
"SATA Micheal C ,PF","12,880",74.36%,41.30%,,,,,
"BANDA Rupiah B ,MMD","3,500",20.21%,11.22%,,,,,
"CHIPIMO Elias C ,NAREP",191,1.10%,0.61%,,,,,
"HICHILEMA Hakainde  ,UPND",88,0.51%,0.28%,,,,,
"MAGANDE Ngandu P ,NMP",69,0.40%,0.22%,,,,,
"NAWAKWI Edith Z ,FDD",57,0.33%,0.18%,,,,,
"MILUPI Charles L ,ADD",41,0.24%,0.13%,,,,,
"MUTESA Fredrick  ,ZED",29,0.17%,0.09%,,,,,
"KAUNDA Tilyenji C ,UNIP",26,0.15%,0.08%,,,,,
"MIYANDA Godfrey K ,HERITAGE",21,0.12%,0.07%,,,,,
,"16,902",,,418,2.41%,"17,320","31,188",55.53%
00000084 SHIWANG'ANDU,,,,,,,,
"SATA Micheal C ,PF","10,804",82.95%,46.66%,,,,,
"BANDA Rupiah B ,MMD","1,702",13.07%,7.35%,,,,,
"CHIPIMO Elias C ,NAREP",80,0.61%,0.35%,,,,,
"HICHILEMA Hakainde  ,UPND",50,0.38%,0.22%,,,,,
"MAGANDE Ngandu P ,NMP",39,0.30%,0.17%,,,,,
"KAUNDA Tilyenji C ,UNIP",28,0.21%,0.12%,,,,,
"MILUPI Charles L ,ADD",17,0.13%,0.07%,,,,,
"MUTESA Fredrick  ,ZED",17,0.13%,0.07%,,,,,
"MIYANDA Godfrey K ,HERITAGE",16,0.12%,0.07%,,,,,
"NAWAKWI Edith Z ,FDD",15,0.12%,0.06%,,,,,
,"12,768",,,257,1.97%,"13,025","23,154",56.25%
00000085 MAFINGA,,,,,,,,
"BANDA Rupiah B ,MMD","15,143",78.14%,49.77%,,,,,
"SATA Micheal C ,PF","3,561",18.38%,11.70%,,,,,
"NAWAKWI Edith Z ,FDD",205,1.06%,0.67%,,,,,
"HICHILEMA Hakainde  ,UPND",124,0.64%,0.41%,,,,,
"CHIPIMO Elias C ,NAREP",72,0.37%,0.24%,,,,,
"MILUPI Charles L ,ADD",52,0.27%,0.17%,,,,,
"KAUNDA Tilyenji C ,UNIP",50,0.26%,0.16%,,,,,
"MAGANDE Ngandu P ,NMP",33,0.17%,0.11%,,,,,
"MIYANDA Godfrey K ,HERITAGE",30,0.15%,0.10%,,,,,
"MUTESA Fredrick  ,ZED",24,0.12%,0.08%,,,,,
,"19,294",,,85,0.44%,"19,379","30,427",63.69%
00000086 ISOKA,,,,,,,,
"SATA Micheal C ,PF","6,722",46.75%,25.63%,,,,,
"BANDA Rupiah B ,MMD","6,642",46.19%,25.33%,,,,,
"NAWAKWI Edith Z ,FDD",149,1.04%,0.57%,,,,,
"HICHILEMA Hakainde  ,UPND",94,0.65%,0.36%,,,,,
"KAUNDA Tilyenji C ,UNIP",69,0.48%,0.26%,,,,,
"CHIPIMO Elias C ,NAREP",41,0.29%,0.16%,,,,,
"MAGANDE Ngandu P ,NMP",38,0.26%,0.14%,,,,,
"MUTESA Fredrick  ,ZED",20,0.14%,0.08%,,,,,
"MILUPI Charles L ,ADD",17,0.12%,0.06%,,,,,
"MIYANDA Godfrey K ,HERITAGE",15,0.10%,0.06%,,,,,
,"13,807",,,572,3.98%,"14,379","26,225",54.83%
00000087 NAKONDE,,,,,,,,
"BANDA Rupiah B ,MMD","11,378",50.90%,28.16%,,,,,
"SATA Micheal C ,PF","9,363",41.88%,23.17%,,,,,
"HICHILEMA Hakainde  ,UPND",433,1.94%,1.07%,,,,,
"CHIPIMO Elias C ,NAREP",137,0.61%,0.34%,,,,,
"KAUNDA Tilyenji C ,UNIP",114,0.51%,0.28%,,,,,
"MILUPI Charles L ,ADD",59,0.26%,0.15%,,,,,
"MAGANDE Ngandu P ,NMP",53,0.24%,0.13%,,,,,
"NAWAKWI Edith Z ,FDD",31,0.14%,0.08%,,,,,
"MUTESA Fredrick  ,ZED",22,0.10%,0.05%,,,,,
"MIYANDA Godfrey K ,HERITAGE",17,0.08%,0.04%,,,,,
,"21,607",,,748,3.35%,"22,355","40,404",55.33%
00000088 CHIMBAMILONGA,,,,,,,,
"SATA Micheal C ,PF","7,118",63.72%,35.40%,,,,,
"BANDA Rupiah B ,MMD","3,655",32.72%,18.18%,,,,,
"HICHILEMA Hakainde  ,UPND",108,0.97%,0.54%,,,,,
"KAUNDA Tilyenji C ,UNIP",28,0.25%,0.14%,,,,,
"CHIPIMO Elias C ,NAREP",19,0.17%,0.09%,,,,,
"MUTESA Fredrick  ,ZED",10,0.09%,0.05%,,,,,
"NAWAKWI Edith Z ,FDD",9,0.08%,0.04%,,,,,
"MIYANDA Godfrey K ,HERITAGE",7,0.06%,0.03%,,,,,
"MAGANDE Ngandu P ,NMP",6,0.05%,0.03%,,,,,
"MILUPI Charles L ,ADD",4,0.04%,0.02%,,,,,
,"10,964",,,207,1.85%,"11,171","20,110",55.55%
00000089 KAPUTA,,,,,,,,
"SATA Micheal C ,PF","8,201",57.96%,33.56%,,,,,
"BANDA Rupiah B ,MMD","5,532",39.10%,22.64%,,,,,
"CHIPIMO Elias C ,NAREP",41,0.29%,0.17%,,,,,
"HICHILEMA Hakainde  ,UPND",29,0.20%,0.12%,,,,,
"NAWAKWI Edith Z ,FDD",21,0.15%,0.09%,,,,,
"KAUNDA Tilyenji C ,UNIP",13,0.09%,0.05%,,,,,
"MAGANDE Ngandu P ,NMP",12,0.08%,0.05%,,,,,
"MUTESA Fredrick  ,ZED",11,0.08%,0.05%,,,,,
"MIYANDA Godfrey K ,HERITAGE",7,0.05%,0.03%,,,,,
"MILUPI Charles L ,ADD",7,0.05%,0.03%,,,,,
,"13,874",,,275,1.94%,"14,149","24,439",57.90%
00000090 KASAMA CENTRAL,,,,,,,,
"SATA Micheal C ,PF","25,260",83.24%,50.48%,,,,,
"BANDA Rupiah B ,MMD","4,481",14.77%,8.96%,,,,,
"HICHILEMA Hakainde  ,UPND",274,0.90%,0.55%,,,,,
"CHIPIMO Elias C ,NAREP",54,0.18%,0.11%,,,,,
"KAUNDA Tilyenji C ,UNIP",51,0.17%,0.10%,,,,,
"MAGANDE Ngandu P ,NMP",47,0.15%,0.09%,,,,,
"MIYANDA Godfrey K ,HERITAGE",42,0.14%,0.08%,,,,,
"NAWAKWI Edith Z ,FDD",38,0.13%,0.08%,,,,,
"MILUPI Charles L ,ADD",23,0.08%,0.05%,,,,,
"MUTESA Fredrick  ,ZED",20,0.07%,0.04%,,,,,
,"30,290",,,56,0.18%,"30,346","50,035",60.65%
00000091 LUKASHYA,,,,,,,,
"SATA Micheal C ,PF","19,075",82.01%,43.69%,,,,,
"BANDA Rupiah B ,MMD","3,655",15.71%,8.37%,,,,,
"HICHILEMA Hakainde  ,UPND",155,0.67%,0.35%,,,,,
"CHIPIMO Elias C ,NAREP",80,0.34%,0.18%,,,,,
"MAGANDE Ngandu P ,NMP",77,0.33%,0.18%,,,,,
"NAWAKWI Edith Z ,FDD",53,0.23%,0.12%,,,,,
"KAUNDA Tilyenji C ,UNIP",41,0.18%,0.09%,,,,,
"MIYANDA Godfrey K ,HERITAGE",34,0.15%,0.08%,,,,,
"MILUPI Charles L ,ADD",32,0.14%,0.07%,,,,,
"MUTESA Fredrick  ,ZED",30,0.13%,0.07%,,,,,
,"23,232",,,27,0.12%,"23,259","43,664",53.27%
00000092 MALOLE,,,,,,,,
"SATA Micheal C ,PF","28,521",83.83%,48.59%,,,,,
"BANDA Rupiah B ,MMD","4,906",14.42%,8.36%,,,,,
"HICHILEMA Hakainde  ,UPND",205,0.60%,0.35%,,,,,
"CHIPIMO Elias C ,NAREP",109,0.32%,0.19%,,,,,
"MAGANDE Ngandu P ,NMP",51,0.15%,0.09%,,,,,
"MILUPI Charles L ,ADD",43,0.13%,0.07%,,,,,
"KAUNDA Tilyenji C ,UNIP",42,0.12%,0.07%,,,,,
"MUTESA Fredrick  ,ZED",34,0.10%,0.06%,,,,,
"NAWAKWI Edith Z ,FDD",32,0.09%,0.05%,,,,,
"MIYANDA Godfrey K ,HERITAGE",31,0.09%,0.05%,,,,,
,"33,974",,,48,0.14%,"34,022","58,692",57.97%
00000093 LUBANSENSHI,,,,,,,,
"SATA Micheal C ,PF","8,784",73.47%,43.49%,,,,,
"BANDA Rupiah B ,MMD","2,844",23.79%,14.08%,,,,,
"KAUNDA Tilyenji C ,UNIP",102,0.85%,0.51%,,,,,
"HICHILEMA Hakainde  ,UPND",73,0.61%,0.36%,,,,,
"MAGANDE Ngandu P ,NMP",35,0.29%,0.17%,,,,,
"CHIPIMO Elias C ,NAREP",32,0.27%,0.16%,,,,,
"MUTESA Fredrick  ,ZED",18,0.15%,0.09%,,,,,
"MILUPI Charles L ,ADD",15,0.13%,0.07%,,,,,
"MIYANDA Godfrey K ,HERITAGE",11,0.09%,0.05%,,,,,
"NAWAKWI Edith Z ,FDD",7,0.06%,0.03%,,,,,
,"11,921",,,35,0.29%,"11,956","20,198",59.19%
00000094 LUPOSOSHI,,,,,,,,
"SATA Micheal C ,PF","12,973",81.71%,49.85%,,,,,
"BANDA Rupiah B ,MMD","2,621",16.51%,10.07%,,,,,
"HICHILEMA Hakainde  ,UPND",77,0.48%,0.30%,,,,,
"MAGANDE Ngandu P ,NMP",44,0.28%,0.17%,,,,,
"CHIPIMO Elias C ,NAREP",39,0.25%,0.15%,,,,,
"KAUNDA Tilyenji C ,UNIP",35,0.22%,0.13%,,,,,
"NAWAKWI Edith Z ,FDD",21,0.13%,0.08%,,,,,
"MILUPI Charles L ,ADD",19,0.12%,0.07%,,,,,
"MUTESA Fredrick  ,ZED",13,0.08%,0.05%,,,,,
"MIYANDA Godfrey K ,HERITAGE",9,0.06%,0.03%,,,,,
,"15,851",,,26,0.16%,"15,877","26,024",61.01%
00000095 MBALA,,,,,,,,
"BANDA Rupiah B ,MMD","13,585",60.69%,35.72%,,,,,
"SATA Micheal C ,PF","7,384",32.98%,19.42%,,,,,
"HICHILEMA Hakainde  ,UPND",129,0.58%,0.34%,,,,,
"CHIPIMO Elias C ,NAREP",92,0.41%,0.24%,,,,,
"MILUPI Charles L ,ADD",82,0.37%,0.22%,,,,,
"KAUNDA Tilyenji C ,UNIP",66,0.29%,0.17%,,,,,
"MAGANDE Ngandu P ,NMP",44,0.20%,0.12%,,,,,
"NAWAKWI Edith Z ,FDD",30,0.13%,0.08%,,,,,
"MIYANDA Godfrey K ,HERITAGE",29,0.13%,0.08%,,,,,
"MUTESA Fredrick  ,ZED",22,0.10%,0.06%,,,,,
,"21,463",,,923,4.12%,"22,386","38,027",58.87%
00000096 MPULUNGU,,,,,,,,
"SATA Micheal C ,PF","12,523",52.40%,29.88%,,,,,
"BANDA Rupiah B ,MMD","10,716",44.84%,25.57%,,,,,
"HICHILEMA Hakainde  ,UPND",274,1.15%,0.65%,,,,,
"CHIPIMO Elias C ,NAREP",85,0.36%,0.20%,,,,,
"MILUPI Charles L ,ADD",54,0.23%,0.13%,,,,,
"NAWAKWI Edith Z ,FDD",39,0.16%,0.09%,,,,,
"MAGANDE Ngandu P ,NMP",37,0.15%,0.09%,,,,,
"KAUNDA Tilyenji C ,UNIP",23,0.10%,0.05%,,,,,
"MIYANDA Godfrey K ,HERITAGE",21,0.09%,0.05%,,,,,
"MUTESA Fredrick  ,ZED",12,0.05%,0.03%,,,,,
,"23,784",,,115,0.48%,"23,899","41,911",57.02%
00000097 SENGA HILL,,,,,,,,
"BANDA Rupiah B ,MMD","11,587",64.24%,35.71%,,,,,
"SATA Micheal C ,PF","5,783",32.06%,17.82%,,,,,
"HICHILEMA Hakainde  ,UPND",157,0.87%,0.48%,,,,,
"CHIPIMO Elias C ,NAREP",98,0.54%,0.30%,,,,,
"NAWAKWI Edith Z ,FDD",90,0.50%,0.28%,,,,,
"KAUNDA Tilyenji C ,UNIP",60,0.33%,0.18%,,,,,
"MAGANDE Ngandu P ,NMP",41,0.23%,0.13%,,,,,
"MIYANDA Godfrey K ,HERITAGE",39,0.22%,0.12%,,,,,
"MILUPI Charles L ,ADD",36,0.20%,0.11%,,,,,
"MUTESA Fredrick  ,ZED",27,0.15%,0.08%,,,,,
,"17,918",,,120,0.67%,"18,038","32,446",55.59%
00000098 KANCHIBIYA,,,,,,,,
"SATA Micheal C ,PF","13,342",85.92%,47.42%,,,,,
"BANDA Rupiah B ,MMD","1,846",11.89%,6.56%,,,,,
"HICHILEMA Hakainde  ,UPND",72,0.46%,0.26%,,,,,
"MILUPI Charles L ,ADD",55,0.35%,0.20%,,,,,
"MAGANDE Ngandu P ,NMP",55,0.35%,0.20%,,,,,
"KAUNDA Tilyenji C ,UNIP",30,0.19%,0.11%,,,,,
"CHIPIMO Elias C ,NAREP",26,0.17%,0.09%,,,,,
"MUTESA Fredrick  ,ZED",25,0.16%,0.09%,,,,,
"MIYANDA Godfrey K ,HERITAGE",21,0.14%,0.07%,,,,,
"NAWAKWI Edith Z ,FDD",20,0.13%,0.07%,,,,,
,"15,492",,,37,0.24%,"15,529","28,134",55.20%
00000099 MFUWE,,,,,,,,
"SATA Micheal C ,PF","6,769",80.50%,41.19%,,,,,
"BANDA Rupiah B ,MMD","1,370",16.29%,8.34%,,,,,
"HICHILEMA Hakainde  ,UPND",46,0.55%,0.28%,,,,,
"MAGANDE Ngandu P ,NMP",46,0.55%,0.28%,,,,,
"NAWAKWI Edith Z ,FDD",29,0.34%,0.18%,,,,,
"MILUPI Charles L ,ADD",26,0.31%,0.16%,,,,,
"CHIPIMO Elias C ,NAREP",25,0.30%,0.15%,,,,,
"MIYANDA Godfrey K ,HERITAGE",19,0.23%,0.12%,,,,,
"KAUNDA Tilyenji C ,UNIP",18,0.21%,0.11%,,,,,
"MUTESA Fredrick  ,ZED",15,0.18%,0.09%,,,,,
,"8,363",,,46,0.55%,"8,409","16,433",51.17%
00000100 MPIKA,,,,,,,,
"SATA Micheal C ,PF","13,117",83.27%,45.28%,,,,,
"BANDA Rupiah B ,MMD","2,329",14.79%,8.04%,,,,,
"HICHILEMA Hakainde  ,UPND",150,0.95%,0.52%,,,,,
"MAGANDE Ngandu P ,NMP",36,0.23%,0.12%,,,,,
"CHIPIMO Elias C ,NAREP",25,0.16%,0.09%,,,,,
"KAUNDA Tilyenji C ,UNIP",22,0.14%,0.08%,,,,,
"MIYANDA Godfrey K ,HERITAGE",13,0.08%,0.04%,,,,,
"NAWAKWI Edith Z ,FDD",13,0.08%,0.04%,,,,,
"MILUPI Charles L ,ADD",11,0.07%,0.04%,,,,,
"MUTESA Fredrick  ,ZED",10,0.06%,0.03%,,,,,
,"15,726",,,26,0.17%,"15,752","28,966",54.38%
00000101 LUNTE,,,,,,,,
"SATA Micheal C ,PF","7,865",55.09%,33.41%,,,,,
"BANDA Rupiah B ,MMD","5,751",40.28%,24.43%,,,,,
"CHIPIMO Elias C ,NAREP",87,0.61%,0.37%,,,,,
"NAWAKWI Edith Z ,FDD",50,0.35%,0.21%,,,,,
"HICHILEMA Hakainde  ,UPND",45,0.32%,0.19%,,,,,
"MAGANDE Ngandu P ,NMP",36,0.25%,0.15%,,,,,
"KAUNDA Tilyenji C ,UNIP",19,0.13%,0.08%,,,,,
"MILUPI Charles L ,ADD",14,0.10%,0.06%,,,,,
"MIYANDA Godfrey K ,HERITAGE",14,0.10%,0.06%,,,,,
"MUTESA Fredrick  ,ZED",8,0.06%,0.03%,,,,,
,"13,889",,,387,2.71%,"14,276","23,539",60.65%
00000102 MPOROKOSO,,,,,,,,
"SATA Micheal C ,PF","7,510",67.62%,42.77%,,,,,
"BANDA Rupiah B ,MMD","3,199",28.80%,18.22%,,,,,
"HICHILEMA Hakainde  ,UPND",109,0.98%,0.62%,,,,,
"CHIPIMO Elias C ,NAREP",47,0.42%,0.27%,,,,,
"NAWAKWI Edith Z ,FDD",20,0.18%,0.11%,,,,,
