"","constit","election_type","year","turnout","pct_rejected"
"141","Mongu Central","parliamentary",2011,0.490870498014333,0.012321569721486
"142","Nalikwanda","parliamentary",2011,0.459845481345939,0.0354813750414502
"143","Nalolo","parliamentary",2011,0.426236820762368,0.0197887926933689
"144","Senanga","parliamentary",2011,0.408190960019486,0.0269371750063933
"145","Shangombo","parliamentary",2011,0.402834506175877,0.00885658441241143
"146","Mulobezi","parliamentary",2011,0.574387120380534,0.0265001911071474
"147","Mwandi","parliamentary",2011,0.570552147239264,0.001453065969195
"148","Sesheke","parliamentary",2011,0.545299521425821,0.01876324018965
"149","Chisamba","parliamentary",2006,0.700598262333524,0.0307672502574665
"150","Katuba","parliamentary",2006,0.739441281609956,0.0182035213369144
"151","Keembe","parliamentary",2006,0.746586122297829,0.03075301484949
"152","Bwacha","parliamentary",2006,0.691967526895914,0
"153","Kabwe Central","parliamentary",2006,0.72779447263412,0.0137069753274444
"154","Kapiri Mposhi","parliamentary",2006,0.661728792243686,0.0351815429493271
"155","Mkushi North","parliamentary",2006,0.664370652136664,0.0378088409759117
"156","Mkushi South","parliamentary",2006,0.769871861652255,0.0365358592692828
"157","Mwembezhi","parliamentary",2006,0.749864381035044,0.0211242132677422
"158","Mumbwa","parliamentary",2006,0.805780953534375,0.0163326653306613
"159","Nangoma","parliamentary",2006,0.70798969072165,0.0215507826720058
"160","Chitambo","parliamentary",2006,0.688067696607406,0.00440031592011734
"161","Muchinga","parliamentary",2006,0.717506326201978,0.0283210430693598
"162","Serenje","parliamentary",2006,0.681458003169572,0.0449910554561717
"163","Chililabombwe","parliamentary",2006,0.729005701946759,0.0144397648910075
"164","Chingola","parliamentary",2006,0.76028724778849,0.0116678105696637
"165","Nchanga","parliamentary",2006,0.779713393099701,0.0129349766996211
"166","Kalulushi","parliamentary",2006,0.765017229496899,0.0190984108680768
"167","Chimwemwe","parliamentary",2006,0.768034265103697,0.0190364375864816
"168","Kamfinsa","parliamentary",2006,0.742663567967858,0.0168134082953219
"169","Kwacha","parliamentary",2006,0.86041218238947,0.0166201800040256
"170","Nkana","parliamentary",2006,0.763173434297822,0.0172044968367393
"171","Wusakile","parliamentary",2006,0.691355744366457,0.00828212663638792
"172","Luanshya","parliamentary",2006,0.741574727195997,0.0181293443355961
"173","Roan","parliamentary",2006,0.650971527510581,0.00886590321388992
"174","Kankoyo","parliamentary",2006,0.771863117870722,0.0169950738916256
"175","Kantanshi","parliamentary",2006,0.772878259425345,0.0168690233157838
"176","Mufulira","parliamentary",2006,0.740506953348457,0.025839104954715
"177","Lufwanyama","parliamentary",2006,0.623360376070968,0.0428145715502037
"178","Bwana Mkubwa","parliamentary",2006,0.422815448631542,0.0277912537251369
"179","Chifubu","parliamentary",2006,0.765408030645051,0.0207337235801421
"180","Kabushi","parliamentary",2006,0.786499797598165,0.0176281363928801
"181","Ndola Central","parliamentary",2006,0.700905409239817,0.0225967908140733
"182","Kafulafuta","parliamentary",2006,0.749174453734279,0.0378880240082528
"183","Masaiti","parliamentary",2006,0.654366250833254,0.0206650658517063
"184","Mpongwe","parliamentary",2006,0.627683197631384,0.0265330188679245
"185","Chadiza","parliamentary",2006,0.723806911684037,0.0389541492989769
"186","Vubwi","parliamentary",2006,0.726578449905482,0.0538037256738474
"187","Chama North","parliamentary",2006,0.826560351938411,0.0275430776395449
"188","Chama South","parliamentary",2006,0.830678908250578,0.0228571428571429
"189","Chipangali","parliamentary",2006,0.619149127810971,0.0195907283483658
"190","Chipata Central","parliamentary",2006,0.64949781774202,0.000526251872242238
"191","Kasenengwa","parliamentary",2006,0.658234859675037,0.0188405797101449
"192","Luangeni","parliamentary",2006,0.727151568999637,0.0302693696195501
"193","Milanzi","parliamentary",2006,0.733526246319423,0.0412485293099868
"194","Mkaika","parliamentary",2006,0.694909565541674,0.0573145862402061
"195","Sinda","parliamentary",2006,0.714906933268309,0.0442840088681712
"196","Chasefu","parliamentary",2006,0.737655094623386,0.0268020218323918
"197","Lumezi","parliamentary",2006,0.687477229821482,0.0253890253890254
"198","Lundazi","parliamentary",2006,0.731085889411215,0.0243347898682014
"199","Nyimba","parliamentary",2006,0.667487485871145,0.0361052313274872
"200","Kaumbwe","parliamentary",2006,0.698797369472805,0.00956689024073207
"201","Msanzala","parliamentary",2006,0.689782608695652,0.0292467696186574
"202","Petauke","parliamentary",2006,0.641880839502066,0.0346406357982032
"203","Malambo","parliamentary",2006,0.692079298373835,0.0375552768794139
"204","Kawambwa","parliamentary",2006,0.714644028554891,0.000899928005759539
"205","Mwansabombwe","parliamentary",2006,0.698610445615716,0.0253772290809328
"206","Pambashe","parliamentary",2006,0.738196575274671,0.0189058728881738
"207","Bahati","parliamentary",2006,0.630264596544938,0.0336548469918812
"208","Mansa Central","parliamentary",2006,0.671678421654594,0.0175600411508035
"209","Milenge","parliamentary",2006,0.589808701540545,0.00789322617680827
"210","Chipili","parliamentary",2006,0.75682382133995,0.022829386763813
"211","Mambilima","parliamentary",2006,0.733372131692717,0.021199410497676
"212","Mwense","parliamentary",2006,0.639442845394737,0.0217828148862632
"213","Chienge","parliamentary",2006,0.48868428075794,0.0208071650920212
"214","Nchelenge","parliamentary",2006,0.536911281489595,0.02203182374541
"215","Bangweulu","parliamentary",2006,0.708664238371052,0.0291961577350859
"216","Chifunabuli","parliamentary",2006,0.676735171505887,0.0359342915811088
"217","Luapula","parliamentary",2006,0.778980072851939,0.0305322514097098
"218","Chongwe","parliamentary",2006,0.700535422140697,0.0273521814514702
"219","Rufunsa","parliamentary",2006,0.686080021446284,0.0273517632118785
"220","Kafue","parliamentary",2006,0.71164863144494,0.014000155557284
"221","Chilanga","parliamentary",2006,0.692463746337065,0.0189887152777778
"222","Feira","parliamentary",2006,0.783665978435421,0.0156615925058548
"223","Chawama","parliamentary",2006,0.726280843117251,0.0114277551603457
"224","Kabwata","parliamentary",2006,0.715102421190344,0.017868778507343
"225","Kanyama","parliamentary",2006,0.673757912337275,0.0341893598635085
"226","Lusaka Central","parliamentary",2006,0.743901931401931,0.0129815628234899
"227","Mandevu","parliamentary",2006,0.711101694915254,0.023903161550641
"228","Matero","parliamentary",2006,0.710707610875408,0.0186958941973626
"229","Munali","parliamentary",2006,0.760162451541444,0.01792219146146
"230","Chilubi","parliamentary",2006,0.706406266766821,0.0257228214086789
"231","Chinsali","parliamentary",2006,0.691930340936963,0.0307810469100792
"232","Shiwan'gandu","parliamentary",2006,0.714486720994313,0.0288832362353327
"233","Mafinga","parliamentary",2006,0.825620802267546,0.0145533248749907
"234","Isoka","parliamentary",2006,0.695511057322038,0.0291070157399351
"235","Chimbamilonga","parliamentary",2006,0.686510779652185,0.0171726755218216
"236","Kaputa","parliamentary",2006,0.713104325699746,0.0204362987592247
"237","Kasama Central","parliamentary",2006,0.72911465892598,0.0216179632136317
"238","Lukashya","parliamentary",2006,0.713708953884802,0.0272784412319296
"239","Lubansenshi","parliamentary",2006,0.809189085564573,0.0247966516623233
"240","Mbala","parliamentary",2006,0.73078485687904,0.0324977256646113
"241","Senga Hill","parliamentary",2006,0.772339753710136,0.042459992991473
"242","Kanchibiya","parliamentary",2006,0.661519158382396,0.0238546833965568
"243","Mfuwe","parliamentary",2006,0.678542575537244,0.025836409096321
"244","Mpika","parliamentary",2006,0.713273310750579,0.0315565831406611
"245","Lunte","parliamentary",2006,0.769884493386798,0.0220771144278607
"246","Mporokoso","parliamentary",2006,0.728630363036304,0.0286490771147095
"247","Nakonde","parliamentary",2006,0.730557140140711,0.0391462779802186
"248","Malole","parliamentary",2006,0.721016304891467,0.0288568257491676
"249","Mpulungu","parliamentary",2006,0.686695445883405,0.0215778444809424
"250","Kabompo","parliamentary",2006,0.751323076923077,0.0247358506020149
"251","Kasempa","parliamentary",2006,0.651431252932895,0.027373577294338
"252","Mufumbwe","parliamentary",2006,0.750929178758719,0.0257644586073632
"253","Mwinilunga","parliamentary",2006,0.80367211728221,0.0299934224950669
"254","Ikeleng'i","parliamentary",2006,0.80443102568464,0.0261140772849818
"255","Solwezi Central","parliamentary",2006,0.670409930715935,0.0437497308702579
"256","Solwezi East","parliamentary",2006,0.530231105559026,0.0263870891742255
"257","Solwezi West","parliamentary",2006,0.716947611964964,0.0590675963810292
"258","Zambezi East","parliamentary",2006,0.74024174669151,0.0113592358332258
"259","Zambezi West","parliamentary",2006,0.66994232001709,0.0235969387755102
"260","Chavuma","parliamentary",2006,0.802200883156936,0.00664045434687636
"261","Choma Central","parliamentary",2006,0.75673348911573,0.0274337721436698
