"","constit","election_type","year","party","candidate","pct_cast","won"
"199","Kanchibiya","parliamentary",2016,"Patriotic Front","Martin Malama",0.795277717743678,1
"200","Kanchibiya","parliamentary",2016,"United Party for National Development","Josphat Chilekwa",0.144910309055544,0
"201","Kanchibiya","parliamentary",2016,"FDD","Mubanga Bwalya",0.0313377998703263,0
"202","Kankoyo","parliamentary",2016,"Patriotic Front","Brian Mushimba",0.588427299703264,1
"203","Kankoyo","parliamentary",2016,"United Party for National Development","Heartson Mabeta",0.396216617210683,0
"204","Kantanshi","parliamentary",2016,"Independent","Anthony C Mumba",0.639694267515924,1
"205","Kantanshi","parliamentary",2016,"Patriotic Front","Dingle Y Mukanga",0.240713375796178,0
"206","Kantanshi","parliamentary",2016,"United Party for National Development","Catherine Chipilipili",0.0933503184713376,0
"207","Kantanshi","parliamentary",2016,"Independent","Jackson M Ndongo",0.00672611464968153,0
"208","Kanyama","parliamentary",2016,"Patriotic Front","Elizabeth Phiri",0.50929037633662,1
"209","Kanyama","parliamentary",2016,"United Party for National Development","Samuel Mwale",0.443466185252048,0
"210","Kanyama","parliamentary",2016,"Movement for Multi-Party Democracy","Maggie M Nkole",0.0143174559089015,0
"211","Kanyama","parliamentary",2016,"FDD","Levy Kafuli",0.00715178447437856,0
"212","Kanyama","parliamentary",2016,"UNIP","Charles Mwelwa",0.00359672267740592,0
"213","Kanyama","parliamentary",2016,"Independent","Sydney Chiyaba",0.00245799194556312,0
"214","Kaoma Central","parliamentary",2016,"United Party for National Development","Sitwala M Sitwala",0.586433102652826,1
"215","Kaoma Central","parliamentary",2016,"Patriotic Front","Chisangu A Liato",0.172145328719723,0
"216","Kaoma Central","parliamentary",2016,"Independent","George C Chisani",0.157511534025375,0
"217","Kaoma Central","parliamentary",2016,"Independent","Tauzeni W Libinga",0.0411620530565167,0
"218","Kaoma Central","parliamentary",2016,"FDD","Joel Wampata",0.0146337946943483,0
"219","Kapiri Mposhi","parliamentary",2016,"United Party for National Development","Stanley K Kakubo",0.475480513964107,1
"220","Kapiri Mposhi","parliamentary",2016,"Patriotic Front","Chrispin Siingwa",0.441711797812467,0
"221","Kapiri Mposhi","parliamentary",2016,"Movement for Multi-Party Democracy","Dorothy M Mambwe",0.0376340660507593,0
"222","Kapiri Mposhi","parliamentary",2016,"FDD","Tembo P Dube",0.00970585112031433,0
"223","Kapiri Mposhi","parliamentary",2016,"UPP","Fredrick Manyanina",0.00356801529149411,0
"224","Kapoche","parliamentary",2016,"Patriotic Front","Charles R Banda",0.618451599878874,1
"225","Kapoche","parliamentary",2016,"Independent","Yvonne D Mwale",0.217775310386595,0
"226","Kapoche","parliamentary",2016,"United Party for National Development","Davison Banda",0.0720702533562128,0
"227","Kapoche","parliamentary",2016,"Movement for Multi-Party Democracy","Jacob Mwanza",0.0254870293731705,0
"228","Kapoche","parliamentary",2016,"FDD","Nixon Lungu",0.0210961946098718,0
"229","Kaputa","parliamentary",2016,"Patriotic Front","Maxas B.j Ng'onga",0.550685881245976,1
"230","Kaputa","parliamentary",2016,"United Party for National Development","Elvis C Nkandu",0.420096072896548,0
"231","Kaputa","parliamentary",2016,"FDD","Gershom K Tanga",0.0166889516168969,0
"232","Kasama Central","parliamentary",2016,"Patriotic Front","Kelvin M Sampa",0.708766550522648,1
"233","Kasama Central","parliamentary",2016,"United Party for National Development","Sibongile Mwamba",0.260878048780488,0
"234","Kasama Central","parliamentary",2016,"FDD","Webster Mulenga",0.0110662020905923,0
"235","Kasama Central","parliamentary",2016,"Rainbow Party","Pascal C Chileshe",0.00454355400696864,0
"236","Kasempa","parliamentary",2016,"United Party for National Development","Brenda M Tambatamba",0.700662189889946,1
"237","Kasempa","parliamentary",2016,"Independent","Peter Masumba",0.173241932475284,0
"238","Kasempa","parliamentary",2016,"Patriotic Front","Dominic Kasosa",0.0782503264316359,0
"239","Kasempa","parliamentary",2016,"Movement for Multi-Party Democracy","Tobias Kafumukache",0.0124976683454579,0
"240","Kasempa","parliamentary",2016,"FDD","Haggai K Shitima",0.00349748181309457,0
"241","Kasenengwa","parliamentary",2016,"Patriotic Front","Victoria Kalima",0.506773748681756,1
"242","Kasenengwa","parliamentary",2016,"Movement for Multi-Party Democracy","Gideon Zulu",0.131216029853168,0
"243","Kasenengwa","parliamentary",2016,"Independent","Charles Banda",0.100105459560315,0
"244","Kasenengwa","parliamentary",2016,"Rainbow Party","Sensio Banda",0.0874908736918958,0
"245","Kasenengwa","parliamentary",2016,"United Party for National Development","Faustin As Banda",0.055609637381358,0
"246","Kasenengwa","parliamentary",2016,"Independent","Gary C Mwalimu",0.0480652226819177,0
"247","Kasenengwa","parliamentary",2016,"UNIP","Kondwani R Kayuni",0.0208485438468403,0
