"","constit","election_type","year","turnout","pct_rejected"
"42","Kafue","parliamentary",2016,0.590013559862806,0.0268487224550493
"43","Kafulafuta","parliamentary",2016,0.474418604651163,0.0536387631975867
"44","Kalabo Central","parliamentary",2016,0.554474147590844,0.0211905999191639
"45","Kalomo Central","parliamentary",2016,0.747482906304005,0.0262357701103209
"46","Kalulushi","parliamentary",2016,0.566585577758471,0.0299015548808538
"47","Kamfinsa","parliamentary",2016,0.527233924097615,0.0212953185498064
"48","Kanchibiya","parliamentary",2016,0.500906655119218,0.0284741733304517
"49","Kankoyo","parliamentary",2016,0.547166747848677,0.0153560830860534
"50","Kantanshi","parliamentary",2016,0.556138063931081,0.019515923566879
"51","Kanyama","parliamentary",2016,0.528715546483796,0.0197194834050826
"52","Kaoma Central","parliamentary",2016,0.541536539662711,0.0281141868512111
"53","Kapiri Mposhi","parliamentary",2016,0.45280133864174,0.031899755760858
"54","Kapoche","parliamentary",2016,0.487429274292743,0.0451196123952761
"55","Kaputa","parliamentary",2016,0.63340652446675,0.0125290942405784
"56","Kasama Central","parliamentary",2016,0.546575050277287,0.0147456445993031
"57","Kasempa","parliamentary",2016,0.586542669584245,0.0318504010445812
"58","Kasenengwa","parliamentary",2016,0.494692698196119,0.0325302182201671
"59","Katombola","parliamentary",2016,0.683318860869411,0.0290204621489147
"60","Katuba","parliamentary",2016,0.575560425512487,0.0310554079244834
"61","Kaumbwe","parliamentary",2016,0.448624345171802,0.0356748804707613
"62","Kawambwa","parliamentary",2016,0.604835074779758,0.0202560802113678
"63","Keembe","parliamentary",2016,0.501509092859003,0.0348261746196615
"64","Kwacha","parliamentary",2016,0.529949846118773,0.0211324407162446
"65","Liuwa","parliamentary",2016,0.684982376636455,0.0147018285399247
"66","Livingstone","parliamentary",2016,0.587012091452758,0.014096773540194
"67","Luampa","parliamentary",2016,0.54518110038852,0.021455938697318
"68","Luangeni","parliamentary",2016,0.530756752581301,0.032018629020521
"69","Luanshya","parliamentary",2016,0.487540688158596,0.0154652785636151
"70","Luapula","parliamentary",2016,0.625619723971593,0.0375883486828015
"71","Lubansenshi","parliamentary",2016,0.58652566706352,0.0202985074626866
"72","Luena","parliamentary",2016,0.617345118712593,0.0269020866773676
"73","Lufubu","parliamentary",2016,0.364977973568282,0.0389257694628847
"74","Lufwanyama","parliamentary",2016,0.399228518222932,0.0396481641900446
"75","Lukashya","parliamentary",2016,0.488022758570704,0.0345672594957858
"76","Lukulu East","parliamentary",2016,0.596104406738651,0.0273479121213659
"77","Lumezi","parliamentary",2016,0.429763531266421,0.0386872737943852
"78","Lundazi","parliamentary",2016,0.486995860042735,0.0373975936653755
"79","Lunte","parliamentary",2016,0.481619037793597,0.0181363798643342
"80","Lupososhi","parliamentary",2016,0.586130623225228,0.0166760161150492
"81","Lusaka Central","parliamentary",2016,0.606996897927027,0.00865950111539242
"82","Mafinga","parliamentary",2016,0.552466668385899,0.0328618774214629
"83","Magoye","parliamentary",2016,0.692936891754732,0.0222729622608995
"84","Malambo","parliamentary",2016,0.580894575127185,0.0305224365922393
"85","Malole","parliamentary",2016,0.497606265220279,0.0189083224425104
"86","Mambilima","parliamentary",2016,0.574221888894841,0.0279876854184159
"87","Mandevu","parliamentary",2016,0.538804075519347,0.0223006157911795
"88","Mangango","parliamentary",2016,0.586372491278938,0.0339952097658966
"89","Mansa Central","parliamentary",2016,0.491667777629649,0.0215225054229935
"90","Manyinga","parliamentary",2016,0.628685839097197,0.0147333204658045
"91","Mapatizya","parliamentary",2016,0.738980621330319,0.0257385854968666
"92","Masaiti","parliamentary",2016,0.470643267307568,0.02392213311399
"93","Matero","parliamentary",2016,0.583353781976566,0.0154323421931277
"94","Mazabuka Central","parliamentary",2016,0.662139189564252,0.0112650965392576
"95","Mbabala","parliamentary",2016,0.796147219162218,0.0125594266657206
"96","Mbala","parliamentary",2016,0.468659614089306,0.0319567147144608
"97","Mfuwe","parliamentary",2016,0.626405177867536,0.0157706650093226
"98","Milanzi","parliamentary",2016,0.526416130804278,0.0472653612424038
"99","Milenge","parliamentary",2016,0.512671937615076,0.0316890250343298
"100","Mitete","parliamentary",2016,0.655186579938377,0.0220503709896541
"101","Mkaika","parliamentary",2016,0.522166131252868,0.0508437335208297
"102","Mkushi North","parliamentary",2016,0.422616507123549,0.0334231028181206
"103","Mkushi South","parliamentary",2016,0.575308396339037,0.0222203008818952
"104","Mongu Central","parliamentary",2016,0.533518518518519,0.0149253731343284
"105","Monze Central","parliamentary",2016,0.740456170036431,0.0120554972601143
"106","Moomba","parliamentary",2016,0.761336121505613,0.0214672930972172
"107","Mpika","parliamentary",2016,0.541007383966245,0.0217889349256641
"108","Mpongwe","parliamentary",2016,0.443128242791822,0.0254491017964072
"109","Mporokoso","parliamentary",2016,0.565634394235816,0.0154378268938755
"110","Mpulungu","parliamentary",2016,0.52141533901445,0.0386911106373907
"111","Msanzala","parliamentary",2016,0.472492362882206,0.0369535559641734
"112","Muchinga","parliamentary",2016,0.43504090377873,0.0400716364450414
"113","Mufulira","parliamentary",2016,0.524571297042237,0.0238591487494515
"114","Mufumbwe","parliamentary",2016,0.63192967087974,0.0387147878607852
"115","Mulobezi","parliamentary",2016,0.629353685868314,0.0542829643888354
"116","Mumbwa","parliamentary",2016,0.548020462633452,0.0284508299849832
"117","Munali","parliamentary",2016,0.568476061101716,0.0157884470020238
"118","Mwandi","parliamentary",2016,0.656220451168445,0.0177027583367641
"119","Mwansabombwe","parliamentary",2016,0.511623302047444,0.0331294991872436
"120","Mwembezhi","parliamentary",2016,0.636822660098522,0.0281860375169213
"121","Mwense","parliamentary",2016,0.526902585016115,0.0212221459334623
"122","Mwinilunga","parliamentary",2016,0.654899618023498,0.0174425033171163
"123","Nakonde","parliamentary",2016,0.499933751017395,0.027108889898531
"124","Nalikwanda","parliamentary",2016,0.518541574032903,0.0194649288286743
"125","Nalolo","parliamentary",2016,0.539579799937697,0.031496568092886
"126","Namwala","parliamentary",2016,0.730512779806318,0.0220580245572096
"127","Nangoma","parliamentary",2016,0.617509648588259,0.0358082706766917
"128","Nchanga","parliamentary",2016,0.546890341989262,0.0161204064481626
"129","Nchelenge","parliamentary",2016,0.387096774193548,0.0233473980309423
"130","Ndola Central","parliamentary",2016,0.538582923209124,0.0223949872360176
"131","Nkana","parliamentary",2016,0.554844886236327,0.017878776753919
"132","Nkeyema","parliamentary",2016,0.508879363135334,0.032571199358203
"133","Nyimba","parliamentary",2016,0.473245892711264,0.0359146487652841
"134","Pambashe","parliamentary",2016,0.629574678536103,0.0209478921183556
"135","Pemba","parliamentary",2016,0.775203598624056,0.0188113930291652
"136","Petauke","parliamentary",2016,0.555345172471713,0.0398966152492507
"137","Roan","parliamentary",2016,0.564758908070414,0.0158610651006375
"138","Rufunsa","parliamentary",2016,0.439464587185465,0.0338424951980243
"139","Senanga","parliamentary",2016,0.556216230892455,0.0321194962413355
"140","Senga Hill","parliamentary",2016,0.528760220574254,0.0324103209565765
"141","Serenje","parliamentary",2016,0.440273400148741,0.028957528957529
"142","Sesheke","parliamentary",2016,0.585246842709529,0.0185752820009809
"143","Shangombo","parliamentary",2016,0.541751114714228,0.0246913580246914
"144","Shiwan'gandu","parliamentary",2016,0.58266855378281,0.0303632549409297
"145","Siavonga","parliamentary",2016,0.752357083184151,0.0214678510998308
"146","Sikongo","parliamentary",2016,0.575100610151889,0.0219714070729872
"147","Sinazongwe","parliamentary",2016,0.730820905548838,0.0213484695284493
"148","Sinda","parliamentary",2016,0.553611854291006,0.0430607187112763
"149","Sioma","parliamentary",2016,0.53593844037486,0.050372984679554
"150","Solwezi Central","parliamentary",2016,0.575051632572777,0.0133612672894799
"151","Solwezi East","parliamentary",2016,0.430791941646405,0.0375932271719411
"152","Solwezi West","parliamentary",2016,0.599740816873715,0.046717830266001
"153","Vubwi","parliamentary",2016,0.504690634998102,0.0445900934780273
"154","Wusakile","parliamentary",2016,0.566494682531326,0.0211895910780669
"155","Zambezi East","parliamentary",2016,0.621097800822457,0.0243537336634233
"156","Zambezi West","parliamentary",2016,0.649622938592857,0.0109707870901901
"157","Bahati","presidential",2016,0.524379948433614,0.0238882603776869
"158","Bangweulu","presidential",2016,0.551377985328455,0.033677892630877
