"","constit","election_type","year","party","candidate","pct_cast","won"
"108","Chingola","parliamentary",2011,"Independent","Mcdonald  Mulongoti",0.151038088125467,0
"109","Chingola","parliamentary",2011,"UPND","Greenwell D Mulambya",0.0659895444361464,0
"110","Chingola","parliamentary",2011,"ADD","Benson  Kafula",0.0198058252427184,0
"111","Chinsali","parliamentary",2011,"Patriotic Front","Christopher  Mulenga",0.675186491644018,1
"112","Chinsali","parliamentary",2011,"MMD","Chileshe  Kapwepwe",0.24177412825999,0
"113","Chinsali","parliamentary",2011,"NAREP","Freedom  Sabi",0.0357948302781472,0
"114","Chinsali","parliamentary",2011,"NRP","David  Kapangalwendo",0.0145723703232522,0
"115","Chinsali","parliamentary",2011,"ADD","Isaac  Mulenga",0.0111027583415255,0
"116","Chipangali","parliamentary",2011,"MMD","Vincent  Mwale",0.58534297224215,1
"117","Chipangali","parliamentary",2011,"Independent","Millioni C Tembo",0.225153137244081,0
"118","Chipangali","parliamentary",2011,"Patriotic Front","Lucas  Phiri",0.0777550907786546,0
"119","Chipangali","parliamentary",2011,"UPND","James  Mwanza",0.0774239832238839,0
"120","Chipangali","parliamentary",2011,"UNIP","Rosemary  Chinene",0.02102532972794,0
"121","Chipangali","parliamentary",2011,"ADD","Evanson  Tonga",0.00535290546879311,0
"122","Chipangali","parliamentary",2011,"NAREP","Amos Sm Nyirenda",0.00193146073616246,0
"123","Chipata Central","parliamentary",2011,"MMD","Reuben M Phiri",0.539070150013709,1
"124","Chipata Central","parliamentary",2011,"Patriotic Front","Lameck  Mangani",0.412087266460382,0
"125","Chipata Central","parliamentary",2011,"UPND","Julia  Mukajulu",0.0255767498335357,0
"126","Chipata Central","parliamentary",2011,"UNIP","Kennedy C Kalioti",0.016803102111159,0
"127","Chipata Central","parliamentary",2011,"Independent","Penlope J Nkunika",0.00309427754494536,0
"128","Chipili","parliamentary",2011,"Patriotic Front","Davies  Mwila",0.702184054283291,1
"129","Chipili","parliamentary",2011,"MMD","Jonathan  Kapungwe",0.258693808312129,0
"130","Chipili","parliamentary",2011,"NMP","Alfred  Bunda",0.0132527565733673,0
"131","Chisamba","parliamentary",2011,"MMD","Moses  Muteteka",0.448384402903578,1
"132","Chisamba","parliamentary",2011,"UPND","Joel  Mboyoma",0.421083060319907,0
"133","Chisamba","parliamentary",2011,"Patriotic Front","Osward  Chulu",0.125778891244299,0
"134","Chitambo","parliamentary",2011,"MMD","Mushili  Malama",0.445779185322704,1
"135","Chitambo","parliamentary",2011,"Patriotic Front","Chanda  Mutale",0.323140766626624,0
"136","Chitambo","parliamentary",2011,"Independent","Godfrey  Kabengele",0.178115103199738,0
"137","Chitambo","parliamentary",2011,"UPND","Patrick  Kalunga",0.0112482254013323,0
"138","Chitambo","parliamentary",2011,"UNIP","Golden  Ng'andwe",0.00939172217975319,0
"139","Choma Central","parliamentary",2011,"UPND","Conellius  Mweetwa",0.563879502480408,1
"140","Choma Central","parliamentary",2011,"MMD","Lenard  Simalonga",0.135595657487957,0
"141","Choma Central","parliamentary",2011,"Independent","Mason  Chaboya",0.0914156301675174,0
"142","Choma Central","parliamentary",2011,"Independent","Dexter  Moono",0.0542814005320296,0
"143","Choma Central","parliamentary",2011,"Independent","George  Chazangwe",0.0413401394780358,0
"144","Choma Central","parliamentary",2011,"Patriotic Front","Jones  Kawilila",0.0389316270040981,0
"145","Choma Central","parliamentary",2011,"UNIP","Rodwell  Nzoolo",0.0207060176863901,0
"146","Choma Central","parliamentary",2011,"ADD","Francis  Siakonde",0.0150262420015817,0
"147","Choma Central","parliamentary",2011,"Independent","Manuel  Hankanga",0.00812423610611834,0
"148","Choma Central","parliamentary",2011,"NMP","Victor  Mweemba",0.00553598389531958,0
"149","Chongwe","parliamentary",2011,"MMD","Japhen  Mwakalombe",0.551512595375944,1
"150","Chongwe","parliamentary",2011,"Patriotic Front","Sylvia T Masebo",0.312219623480695,0
"151","Chongwe","parliamentary",2011,"UPND","Clement  Mapulanga",0.0885318814462636,0
"152","Chongwe","parliamentary",2011,"FDD","David  Chulu",0.0207814117556842,0
"153","Dundumwezi","parliamentary",2011,"UPND","Edgar  Sing'ombe",0.89752819774418,1
"154","Dundumwezi","parliamentary",2011,"MMD","Sebastian  Haambokoma",0.0794936405087593,0
"155","Dundumwezi","parliamentary",2011,"Patriotic Front","Rodwell  Mweetwa",0.0211783057355412,0
"156","Feira","parliamentary",2011,"MMD","Patrick A Ngoma",0.478737997256516,1
"157","Feira","parliamentary",2011,"Patriotic Front","James P Gutinyu",0.326748971193416,0
"158","Feira","parliamentary",2011,"UPND","Francis  Ndhlovu",0.155281207133059,0
"159","Feira","parliamentary",2011,"UNIP","Wilfred M Nyasenda",0.0108367626886145,0
"160","Feira","parliamentary",2011,"FDD","Jairos J Tembo",0.00493827160493827,0
"161","Gwembe","parliamentary",2011,"UPND","Brian  Ntundu",0.582601113421423,1
"162","Gwembe","parliamentary",2011,"MMD","Mulungo A Chisangano",0.167751022872091,0
"163","Gwembe","parliamentary",2011,"Independent","Paul  Chilala",0.0965188812126903,0
"164","Gwembe","parliamentary",2011,"Independent","Jameson  Hantimba",0.0453417398886579,0
"165","Gwembe","parliamentary",2011,"Independent","Bornwell  Siakanomba",0.0399758535113019,0
"166","Gwembe","parliamentary",2011,"Independent","Musa  Siachingili",0.0301160372929103,0
"167","Gwembe","parliamentary",2011,"Patriotic Front","Peter  Chiyombwe",0.0110000670735797,0
"168","Ikeleng'i","parliamentary",2011,"MMD","Elijah J Muchima",0.591766723842196,1
"169","Ikeleng'i","parliamentary",2011,"UPND","Elvis  Chifwafwa",0.287878787878788,0
"170","Ikeleng'i","parliamentary",2011,"Patriotic Front","Victor  Kayekesi",0.0815704211930627,0
"171","Ikeleng'i","parliamentary",2011,"UNIP","Robinson  Ikwekwa",0.0082904516866781,0
"172","Isoka","parliamentary",2011,"Patriotic Front","Malozo  Sichone",0.498815165876777,1
"173","Isoka","parliamentary",2011,"MMD","Paul  Sichamba",0.270769445218846,0
"174","Isoka","parliamentary",2011,"FDD","Gift  Kapila",0.179397825480903,0
"175","Isoka","parliamentary",2011,"UNIP","Daudi M Mukwasa",0.0163088932255367,0
"176","Isoka","parliamentary",2011,"UPND","Lumalizia  Mwandia",0.00864231948703652,0
"177","Itezhitezhi","parliamentary",2011,"UPND","Greyford  Monde",0.538213588938841,1
"178","Itezhitezhi","parliamentary",2011,"MMD","David  Diangamo",0.26346594282806,0
"179","Itezhitezhi","parliamentary",2011,"Independent","Namakau  Kaingu",0.143438798880312,0
"180","Itezhitezhi","parliamentary",2011,"Patriotic Front","George  Chitembo",0.0337602850114514,0
"181","Kabompo","parliamentary",2011,"UPND","Ambrose L Lufuma",0.459935574793638,1
"182","Kabompo","parliamentary",2011,"MMD","Daniel  Kalenga",0.449869136299577,0
"183","Kabompo","parliamentary",2011,"Patriotic Front","Joy K Chijilo",0.0889873162874975,0
"184","Kabushi","parliamentary",2011,"Patriotic Front","Dorothy  Kazunga",0.627642608873441,1
"185","Kabushi","parliamentary",2011,"MMD","Rabson  Kopalande",0.277448374565529,0
"186","Kabushi","parliamentary",2011,"UPND","Ernest  Lufunda",0.0703741566141893,0
"187","Kabushi","parliamentary",2011,"NMP","Harold  Ndhlovu",0.0056839092210182,0
"188","Kabushi","parliamentary",2011,"Independent","Tony K Mwape",0.00363933755878144,0
"189","Kabwata","parliamentary",2011,"Patriotic Front","Given  Lubinda",0.74462218689453,1
"190","Kabwata","parliamentary",2011,"MMD","Peter  Machungwa",0.145784688757514,0
"191","Kabwata","parliamentary",2011,"UPND","Imbuwa  Imbuwa",0.0974464702667793,0
"192","Kabwata","parliamentary",2011,"NGP","Mckelvin  Kabaso",0.00471955884544687,0
"193","Kabwata","parliamentary",2011,"Independent","Nasson  Msoni",0.00327885140841572,0
"194","Kabwata","parliamentary",2011,"ZAD","Doreen  Shimumbi",0.00283173530726812,0
"195","Kabwata","parliamentary",2011,"ZED","Doreen  Shimumbi",0.00283173530726812,0
"196","Kabwe Central","parliamentary",2011,"Patriotic Front","James  Kapyanga",0.547125422731951,1
"197","Kabwe Central","parliamentary",2011,"MMD","Jane  Chileshe",0.306866637259227,0
"198","Kabwe Central","parliamentary",2011,"UPND","Margaret M Muyangana",0.0887737097485664,0
"199","Kabwe Central","parliamentary",2011,"UNIP","Jairus  Chakulunta",0.0220923393618585,0
"200","Kabwe Central","parliamentary",2011,"FDD","Redson T Mtonga",0.0163578885458021,0
"201","Kabwe Central","parliamentary",2011,"Independent","Christina M Chikanwa",0.00775621232171739,0
"202","Kafue","parliamentary",2011,"Patriotic Front","Obvious S Mwaliteta",0.336982142143742,1
"203","Kafue","parliamentary",2011,"MMD","Bradford  Machila",0.251368303303903,0
"204","Kafue","parliamentary",2011,"UPND","Choolwe  Beyani",0.167552235228317,0
"205","Kafue","parliamentary",2011,"UNIP","Beatrice K Moonga",0.0926051695897088,0
"206","Kafue","parliamentary",2011,"Independent","Mirriam N Chitalu",0.0916863089768687,0
"207","Kafue","parliamentary",2011,"Independent","Committee  Njase",0.0323199232951141,0
"208","Kafue","parliamentary",2011,"ADD","Paul W Kawanambulu",0.00611242059845791,0
"209","Kafulafuta","parliamentary",2011,"MMD","James  Chishiba",0.588076692630318,1
"210","Kafulafuta","parliamentary",2011,"Patriotic Front","Patrick  Mwanawasa",0.29488715797883,0
"211","Kafulafuta","parliamentary",2011,"Independent","Jimy  Kasabwa",0.091172358697823,0
"212","Kafulafuta","parliamentary",2011,"UPND","Brian  Matutu",0.0215698022768125,0
"213","Kalabo Central","parliamentary",2011,"UPND","Chinga  Miyutu",0.424419432967659,1
"214","Kalabo Central","parliamentary",2011,"MMD","Richard S Mwapela",0.211568599515601,0
"215","Kalabo Central","parliamentary",2011,"ADD","Mubukwanu  Kalaluka",0.122809517025217,0
"216","Kalabo Central","parliamentary",2011,"Patriotic Front","Atanga  Muyenga",0.112765351189628,0
"217","Kalabo Central","parliamentary",2011,"Independent","Queen M Kakoma",0.0938167830175239,0
"218","Kalabo Central","parliamentary",2011,"FDD","Kenneth S Mulope",0.00762216840005699,0
"219","Kalabo Central","parliamentary",2011,"Independent","Liemisa L Liemisa",0.00591252315144607,0
"220","Kalomo Central","parliamentary",2011,"UPND","Request  Muntanga",0.455293422428292,1
"221","Kalomo Central","parliamentary",2011,"NMP","Harry Sk Kamboni",0.235737988090368,0
"222","Kalomo Central","parliamentary",2011,"MMD","Joshua M Sikaduli",0.183144688394927,0
"223","Kalomo Central","parliamentary",2011,"Independent","Edgar N Siakacoma",0.060048184008364,0
"224","Kalomo Central","parliamentary",2011,"Patriotic Front","Omar B Munsanje",0.0273648802218283,0
"225","Kalomo Central","parliamentary",2011,"ADD","Paul S Siambala",0.00881858266284831,0
"226","Kalomo Central","parliamentary",2011,"NP","Richard S Kambulu",0.00877312605118414,0
"227","Kalulushi","parliamentary",2011,"Patriotic Front","Rayford  Mbulu",0.635654117242565,1
"228","Kalulushi","parliamentary",2011,"MMD","Spartan  Musowoya",0.269417225373904,0
"229","Kalulushi","parliamentary",2011,"UPND","Richard R Mukungu",0.0570397111913357,0
"230","Kalulushi","parliamentary",2011,"ADD","Charles  Ngonga",0.0201822245143545,0
"231","Kamfinsa","parliamentary",2011,"Patriotic Front","Moses  Chishimba",0.691484038827179,1
"232","Kamfinsa","parliamentary",2011,"MMD","Itayi  Chinkuli",0.205443810667467,0
"233","Kamfinsa","parliamentary",2011,"UPND","Lemmy  Mwanjisi",0.0642950065045532,0
"234","Kamfinsa","parliamentary",2011,"Independent","Azik I Nyirenda",0.0145601921344941,0
"235","Kamfinsa","parliamentary",2011,"FDD","Willie  Lupiya",0.00730511357950565,0
"236","Kamfinsa","parliamentary",2011,"ZAD","Peter  Mulenga",0.00695486840788552,0
"237","Kamfinsa","parliamentary",2011,"ZED","Peter  Mulenga",0.00695486840788552,0
"238","Kamfinsa","parliamentary",2011,"UNIP","Bernard  Kabanda",0.00630441308916241,0
"239","Kanchibiya","parliamentary",2011,"Patriotic Front","Davies  Mwango",0.479476384686225,1
"240","Kanchibiya","parliamentary",2011,"Independent","Newton  Ng'uni",0.246743849493488,0
"241","Kanchibiya","parliamentary",2011,"MMD","Sunday  Chanda",0.112090514405999,0
"242","Kanchibiya","parliamentary",2011,"Independent","Josphat  Chilekwa",0.0965004604657282,0
"243","Kanchibiya","parliamentary",2011,"ADD","Stanley  Nsofwa",0.0497960794632285,0
"244","Kanchibiya","parliamentary",2011,"UNIP","Clement  Bobo",0.00973556111038021,0
"245","Kanchibiya","parliamentary",2011,"UPND","Emmanuel  Mulenga",0.00388106828048941,0
"246","Kankoyo","parliamentary",2011,"Patriotic Front","Levy K Chabala",0.659181597684062,1
"247","Kankoyo","parliamentary",2011,"MMD","Shadrick A Musozya",0.253110085282842,0
"248","Kankoyo","parliamentary",2011,"UPND","Patrick  Mbetela",0.0570377904702292,0
"249","Kankoyo","parliamentary",2011,"UPDD","Emmanuel  Simumba",0.0240982708708239,0
